년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,2,11110615,종로1?2?3?4가동,3245251,181176283000
2020,2,11110630,종로5?6가동,2531450,6878182000
2020,2,11110640,이화동,3024996,5922915000
2020,2,11110650,혜화동,3333112,6696416000
2020,2,11110670,창신1동,2393308,1897056000
2020,2,11110680,창신2동,2112817,741720000
2020,2,11110690,창신3동,3006052,291649000
2020,2,11110700,숭인1동,2868519,602053000
2020,2,11110710,숭인2동,2607311,1593125000
2020,2,11140520,소공동,5380521,1271927459000
2020,2,11140540,회현동,4442451,594754020000
2020,2,11140550,명동,3733600,39997190000
2020,2,11140570,필동,3033044,3649576000
2020,2,11140580,장충동,2895026,1518788000
2020,2,11140590,광희동,3229604,9962124000
2020,2,11140605,을지로동,3082514,17264067000
2020,2,11140615,신당동,2816850,4078985000
2020,2,11140625,다산동,2679845,2988645000
2020,2,11140635,약수동,3894878,2567530000
2020,2,11140645,청구동,3566241,1493280000
2020,2,11140650,신당5동,3027979,1631742000
2020,2,11140665,동화동,3621349,1766060000
2020,2,11140670,황학동,3247840,2949040000
2020,2,11140680,중림동,4435938,2056629000
2020,2,11170510,후암동,3013677,1937249000
2020,2,11170520,용산2가동,2540319,112396828000
2020,2,11170530,남영동,3183091,47211080000
2020,2,11170555,청파동,2608804,2673058000
2020,2,11170560,원효로1동,4450695,2645939000
2020,2,11170570,원효로2동,3817026,914947000
2020,2,11170580,효창동,3523201,1003930000
2020,2,11170590,용문동,3568910,1374190000
2020,2,11170625,한강로동,4948344,30526125000
2020,2,11170630,이촌1동,5974291,2764251000
2020,2,11170640,이촌2동,3596083,1384989000
2020,2,11170650,이태원1동,3682946,4488541000
2020,2,11170660,이태원2동,3261019,1501437000
2020,2,11170685,한남동,4381088,9924163000
2020,2,11170690,서빙고동,4208562,965405000
2020,2,11170700,보광동,2545653,1027605000
2020,2,11200520,왕십리2동,3474994,1775627000
2020,2,11200535,왕십리도선동,4015131,7118308000
2020,2,11200540,마장동,3021967,4577621000
2020,2,11200550,사근동,3099614,5111966000
2020,2,11200560,행당1동,3900841,5437920000
2020,2,11200570,행당2동,4408744,1424770000
2020,2,11200580,응봉동,3858472,456467000
2020,2,11200590,금호1가동,4010011,1053023000
2020,2,11200615,금호2?3가동,3751434,2069052000
2020,2,11200620,금호4가동,4442144,2707237000
2020,2,11200645,옥수동,4836487,2911081000
2020,2,11200650,성수1가1동,3870717,2715332000
2020,2,11200660,성수1가2동,3263294,6457354000
2020,2,11200670,성수2가1동,2900762,5281493000
2020,2,11200690,성수2가3동,3358391,11428359000
2020,2,11200720,송정동,2566462,730520000
2020,2,11200790,용답동,2484354,8367340000
2020,2,11215710,화양동,2470026,14999278000
2020,2,11215730,군자동,2604535,4232060000
2020,2,11215740,중곡1동,2542359,4066320000
2020,2,11215750,중곡2동,2555101,3471257000
2020,2,11215760,중곡3동,2390961,2381853000
2020,2,11215770,중곡4동,2523958,3024904000
2020,2,11215780,능동,2846023,4660208000
