연도,분기,행정동_코드,행정동_코드_명,abs_q,프랜차이즈_점포_수,임대시세_per_m2,개업_점포_수,교통시설_수,의료시설_수,교육시설_수,상업시설_수,공공시설_수,임대료대비수익성,개업률_QoQ_diff,개업률_YoY_diff,개업률_diff_roll4,추정매출액_QoQ_diff,추정매출액_YoY_diff,추정매출액_diff_roll4,총_유동인구_수_QoQ_diff,총_유동인구_수_YoY_diff,총_유동인구_수_diff_roll4,IS_RENT_MISSING,Y
2021,1,11170650,이태원1동,4,84,170309,22,15.0,3.0,1.0,3.0,13.0,285470.2560346194,-1.1099999999999999,-1.35,-0.3375,-5002442085.0,-14808748140.0,-3702187035.0,36038.0,-296212.0,-74053.0,0,0.727368080155583
2021,1,11170660,이태원2동,4,42,139875,29,22.0,3.0,3.0,0.0,13.0,95453.65170330652,-0.9900000000000002,-0.35999999999999943,-0.08999999999999986,1800064087.0,3180095035.0,795023758.75,-192319.0,-337576.0,-84394.0,0,-0.17580156142700884
2021,1,11170685,한남동,4,128,111821,60,38.0,14.0,4.0,3.0,41.0,645456.5166650271,-0.9100000000000001,-2.3699999999999997,-0.5924999999999999,-2124933581.0,5741709632.0,1435427408.0,-62979.0,-1178622.0,-294655.5,0,0.22205793033760254
2021,1,11170690,서빙고동,4,28,62017,10,22.0,1.0,2.0,0.0,16.0,77549.6509182966,0.03000000000000025,-1.4300000000000002,-0.35750000000000004,1616457790.0,1904234690.0,476058672.5,-15316.0,-89019.0,-22254.75,0,-1.0164289883038802
2021,1,11170700,보광동,4,38,88601,11,14.0,8.0,9.0,0.0,5.0,188251.97319443346,-2.2,-2.8199999999999994,-0.705,-765095228.0,-1210413829.0,-302603457.25,63670.0,-287375.0,-71843.75,0,-0.5039872143616213
2021,1,11200520,왕십리2동,4,60,105487,14,19.0,5.0,2.0,0.0,2.0,94525.36584602842,-0.7399999999999998,-0.45999999999999996,-0.11499999999999999,1299475032.0,1672913792.0,418228448.0,-73842.0,-384477.0,-96119.25,0,0.0749209749987468
2021,1,11200535,왕십리도선동,4,185,105326,69,26.0,22.0,6.0,0.0,8.0,288965.5700396863,0.5,-0.31999999999999984,-0.07999999999999996,3051959522.0,2546209482.0,636552370.5,34197.0,-367766.0,-91941.5,0,0.48075936680652503
2021,1,11200540,마장동,4,60,100584,34,30.0,8.0,6.0,0.0,11.0,247304.64692197565,-0.16000000000000014,-0.5900000000000001,-0.14750000000000002,4673979984.0,3782709802.0,945677450.5,-15813.0,-284088.0,-71022.0,0,-0.030001197234431842
2021,1,11200550,사근동,4,184,136771,9,36.0,11.0,57.0,1.0,8.0,219859.7111814639,-2.5300000000000002,-3.8100000000000005,-0.9525000000000001,3323873784.0,1754670866.0,438667716.5,-324155.0,-368174.0,-92043.5,0,-0.623292400398102
2021,1,11200560,행당1동,4,150,118361,41,34.0,15.0,2.0,2.0,13.0,274770.9961135847,0.050000000000000266,0.1200000000000001,0.030000000000000027,-2458121176.0,-452451781.0,-113112945.25,-247771.0,-1655659.0,-413914.75,0,0.3939983321406108
2021,1,11200570,행당2동,4,69,107143,15,25.0,4.0,4.0,0.0,4.0,48173.74466834044,-2.9,-0.48,-0.12,-6199344574.0,-6636656136.0,-1659164034.0,82935.0,134332.0,33583.0,0,-0.8818201657310233
2021,1,11200580,응봉동,4,20,116479,5,31.0,2.0,2.0,0.0,3.0,19504.325689609286,-1.33,-1.0100000000000002,-0.25250000000000006,792100315.0,986119217.0,246529804.25,-1948.0,-209846.0,-52461.5,0,-1.126274407405477
2021,1,11200590,금호1가동,4,44,104493,15,46.0,6.0,3.0,0.0,2.0,80838.17271013369,-2.41,-0.3900000000000001,-0.09750000000000003,2935148423.0,1907639758.0,476909939.5,179220.0,9863.0,2465.75,0,-0.3211879352625873
2021,1,11200615,금호23가동,4,76,102981,20,46.0,13.0,1.0,0.0,5.0,166034.35877491964,-2.1400000000000006,-1.1400000000000001,-0.28500000000000003,726090244.0,2039750884.0,509937721.0,-45693.0,-419874.0,-104968.5,0,-0.2907724719936774
2021,1,11200620,금호4가동,4,58,101886,14,28.0,6.0,3.0,0.0,6.0,113128.28575074102,-1.0300000000000002,-0.43999999999999995,-0.10999999999999999,2841542856.0,3504946134.0,876236533.5,-194474.0,27366.0,6841.5,0,-0.33011785087222995
2021,1,11200645,옥수동,4,86,146962,32,47.0,10.0,6.0,0.0,6.0,55843.964024713874,-1.4900000000000002,-1.1400000000000006,-0.28500000000000014,-8345934021.0,-5229126777.0,-1307281694.25,149259.0,162552.0,40638.0,0,-0.4113863205493468
2021,1,11200650,성수1가1동,4,72,95710,32,34.0,4.0,5.0,1.0,6.0,216805.26038031554,0.3599999999999999,-2.04,-0.51,327924259.0,2103393325.0,525848331.25,53090.0,8313.0,2078.25,0,-0.21689781090301694
2021,1,11200660,성수1가2동,4,118,111915,66,13.0,6.0,3.0,0.0,9.0,431266.6097574052,-0.9599999999999995,-1.1699999999999995,-0.29249999999999987,1544855690.0,7611317849.0,1902829462.25,68468.0,-236889.0,-59222.25,0,0.4271679798230257
2021,1,11200670,성수2가1동,4,108,96812,41,38.0,13.0,4.0,3.0,6.0,483638.3973680949,-1.0100000000000002,-2.0900000000000003,-0.5225000000000001,-8476251898.0,-3756260885.0,-939065221.25,-12478.0,49166.0,12291.5,0,0.21778382569134203
2021,1,11200690,성수2가3동,4,215,114529,86,21.0,11.0,2.0,1.0,19.0,738409.3596992901,-1.6799999999999997,-1.75,-0.4375,-8609928782.0,-2774041660.0,-693510415.0,87208.0,-297017.0,-74254.25,0,0.9065713555314293
2021,1,11200720,송정동,4,18,82635,7,17.0,6.0,1.0,0.0,2.0,81178.37845949053,-2.81,-2.16,-0.54,1680319882.0,2366101433.0,591525358.25,-33500.0,-92925.0,-23231.25,0,-0.604128967686964
2021,1,11200790,용답동,4,74,91427,26,13.0,8.0,1.0,1.0,9.0,268229.58337252674,-0.69,-1.04,-0.26,-5962544850.0,-2109333781.0,-527333445.25,122092.0,259878.0,64969.5,0,-0.2440140221398378
2021,1,11215710,화양동,4,383,127512,84,18.0,18.0,39.0,1.0,8.0,530151.2592697158,-1.3699999999999997,-1.35,-0.3375,1024898250.0,-4266310501.0,-1066577625.25,-244323.0,-1103707.0,-275926.75,0,0.5632223244149989
2021,1,11215730,군자동,4,131,82503,41,23.0,13.0,23.0,1.0,10.0,403203.6603759863,-1.5500000000000003,0.31000000000000005,0.07750000000000001,-3665849833.0,-8691201702.0,-2172800425.5,159184.0,60048.0,15012.0,0,0.36159660571974356
2021,1,11215740,중곡1동,4,74,72042,23,19.0,10.0,1.0,1.0,2.0,574254.3921740096,-2.6400000000000006,-2.37,-0.5925,1258845136.0,1801161824.0,450290456.0,57117.0,-149735.0,-37433.75,0,0.28446147758698664
2021,1,11215750,중곡2동,4,91,69933,46,23.0,14.0,2.0,0.0,6.0,522345.5854603692,0.3900000000000001,-0.040000000000000036,-0.010000000000000009,2357879355.0,2237039153.0,559259788.25,16951.0,-318689.0,-79672.25,0,0.3145901986822863
2021,1,11215760,중곡3동,4,67,75506,23,30.0,10.0,2.0,1.0,4.0,233440.49708632426,-2.29,-2.09,-0.5225,2840284925.0,3349407636.0,837351909.0,-17930.0,-221493.0,-55373.25,0,-0.1297318802318055
2021,1,11215770,중곡4동,4,73,79832,30,37.0,7.0,4.0,0.0,4.0,378899.1285950496,-0.8099999999999996,-1.4699999999999998,-0.36749999999999994,-3192199783.0,2264477939.0,566119484.75,46341.0,-191235.0,-47808.75,0,-0.4890455516556567
2021,1,11215780,능동,4,65,105699,22,6.0,6.0,2.0,0.0,4.0,220705.22040889697,-0.52,-0.6800000000000002,-0.17000000000000004,5116401119.0,5560969508.0,1390242377.0,-31596.0,-94696.0,-23674.0,0,-0.12700672684214817
2021,1,11215810,광장동,4,109,105264,36,33.0,9.0,21.0,0.0,14.0,292478.2479290166,-0.6400000000000001,-0.16999999999999993,-0.04249999999999998,3570398315.0,7747699511.0,1936924877.75,-283440.0,-462866.0,-115716.5,0,-0.3094754223233123
2021,1,11215820,자양1동,4,118,94600,32,17.0,15.0,4.0,0.0,7.0,352319.6471564482,-1.33,-1.5100000000000002,-0.37750000000000006,3345848497.0,3538045171.0,884511292.75,61006.0,-583213.0,-145803.25,0,0.22370931457453458
2021,1,11215830,자양2동,4,86,77854,43,21.0,8.0,9.0,1.0,3.0,214096.37219667583,0.2999999999999998,0.9299999999999997,0.23249999999999993,1867109473.0,3298338462.0,824584615.5,10568.0,-187076.0,-46769.0,0,-0.3246589169552274
2021,1,11215840,자양3동,4,141,108546,41,30.0,8.0,7.0,2.0,8.0,281888.5218801246,-1.3299999999999996,-1.3900000000000001,-0.34750000000000003,-7971145852.0,-10131430613.0,-2532857653.25,-7437.0,-493110.0,-123277.5,0,-0.06771671516945936
2021,1,11215847,자양4동,4,123,102363,22,17.0,16.0,2.0,2.0,7.0,316469.86675849673,-1.76,-2.45,-0.6125,1529570538.0,-3676898056.0,-919224514.0,-188162.0,-178617.0,-44654.25,0,-0.13938828081350904
