연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,1,동작구,11590530,상도1동,48023,11590
2020,1,동작구,11590651,사당5동,13416,11590
2020,1,동작구,11590650,사당4동,14856,11590
2020,1,동작구,11590640,사당3동,25849,11590
2020,1,동작구,11590630,사당2동,28189,11590
2020,1,동작구,11590620,사당1동,24012,11590
2020,1,동작구,11590660,대방동,40002,11590
2020,1,동작구,11590520,노량진2동,13749,11590
2020,1,동작구,11590510,노량진1동,32572,11590
2020,1,관악구,11620575,행운동,30194,11620
2020,1,관악구,11620545,청림동,16127,11620
2020,1,관악구,11620595,청룡동,34924,11620
2020,1,관악구,11620615,중앙동,16005,11620
2020,1,관악구,11620725,조원동,19631,11620
2020,1,관악구,11620625,인헌동,27056,11620
2020,1,관악구,11620605,은천동,35142,11620
2020,1,관악구,11620655,신원동,19708,11620
2020,1,관악구,11620685,신사동,26034,11620
2020,1,강남구,11620685,신사동,17487,11620
2020,1,관악구,11620695,신림동,22643,11620
2020,1,관악구,11620565,성현동,30823,11620
2020,1,관악구,11620645,서원동,24106,11620
2020,1,관악구,11620665,서림동,24252,11620
2020,1,관악구,11620745,삼성동,25041,11620
2020,1,관악구,11620525,보라매동,26166,11620
2020,1,관악구,11620765,미성동,32597,11620
2020,1,관악구,11620735,대학동,24638,11620
2020,1,관악구,11620630,남현동,18962,11620
2020,1,관악구,11620715,난향동,16209,11620
2020,1,관악구,11620775,난곡동,28735,11620
2020,1,관악구,11620585,낙성대동,17669,11620
2020,1,서초구,11650540,잠원동,35058,11650
2020,1,서초구,11650652,양재2동,23089,11650
2020,1,서초구,11650651,양재1동,45707,11650
2020,1,서초구,11650531,서초4동,32024,11650
2020,1,서초구,11650530,서초3동,31176,11650
2020,1,서초구,11650520,서초2동,18975,11650
2020,1,서초구,11650510,서초1동,21502,11650
2020,1,서초구,11650590,방배본동,21539,11650
2020,1,서초구,11650621,방배4동,23999,11650
2020,1,서초구,11650620,방배3동,22226,11650
2020,1,서초구,11650610,방배2동,20856,11650
2020,1,서초구,11650600,방배1동,17739,11650
2020,1,서초구,11650550,반포본동,12183,11650
2020,1,서초구,11650581,반포4동,20217,11650
2020,1,서초구,11650580,반포3동,20343,11650
2020,1,서초구,11650570,반포2동,16400,11650
2020,1,서초구,11650560,반포1동,33268,11650
2020,1,서초구,11650660,내곡동,18500,11650
2020,1,강남구,11680565,청담동,29479,11680
2020,1,강남구,11680720,일원본동,24358,11680
2020,1,강남구,11680740,일원2동,18086,11680
2020,1,강남구,11680730,일원1동,16407,11680
2020,1,강남구,11680650,역삼2동,37513,11680
2020,1,강남구,11680640,역삼1동,36973,11680
2020,1,강남구,11680545,압구정동,27802,11680
2020,1,강남구,11680510,신사동,17487,11680
2020,1,관악구,11680510,신사동,26034,11680
2020,1,강남구,11680750,수서동,15798,11680
2020,1,강남구,11680700,세곡동,45060,11680
2020,1,강남구,11680590,삼성2동,30674,11680
2020,1,강남구,11680580,삼성1동,14959,11680
2020,1,강남구,11680656,도곡2동,34524,11680
2020,1,강남구,11680655,도곡1동,22651,11680
2020,1,강남구,11680630,대치4동,20770,11680
2020,1,강남구,11680610,대치2동,38575,11680
2020,1,강남구,11680600,대치1동,25298,11680
2020,1,강남구,11680531,논현2동,21858,11680
2020,1,강남구,11680521,논현1동,23944,11680
2020,1,강남구,11680690,개포4동,18282,11680
2020,1,강남구,11680670,개포2동,22510,11680
2020,1,강남구,11680660,개포1동,6890,11680
2020,1,송파구,11710520,풍납2동,25805,11710
2020,1,송파구,11710510,풍납1동,15332,11710
2020,1,송파구,11710646,장지동,31815,11710
2020,1,송파구,11710650,잠실본동,29537,11710
2020,1,송파구,11710720,잠실7동,10153,11710
2020,1,송파구,11710710,잠실6동,17479,11710
2020,1,송파구,11710690,잠실4동,22136,11710
2020,1,송파구,11710680,잠실3동,35931,11710
2020,1,송파구,11710670,잠실2동,36784,11710
2020,1,송파구,11710647,위례동,28341,11710
2020,1,송파구,11710566,오륜동,18837,11710
2020,1,송파구,11710570,오금동,41029,11710
2020,1,송파구,11710590,송파2동,20848,11710
2020,1,송파구,11710580,송파1동,25801,11710
2020,1,송파구,11710600,석촌동,34097,11710
2020,1,송파구,11710610,삼전동,32400,11710
2020,1,송파구,11710562,방이2동,26408,11710
2020,1,송파구,11710561,방이1동,16450,11710
2020,1,송파구,11710642,문정2동,30070,11710
2020,1,송파구,11710641,문정1동,21304,11710
2020,1,송파구,11710550,마천2동,20108,11710
2020,1,송파구,11710540,마천1동,20562,11710
2020,1,송파구,11710532,거여2동,16852,11710
2020,1,송파구,11710531,거여1동,13163,11710
2020,1,송파구,11710620,가락본동,27833,11710
2020,1,송파구,11710632,가락2동,33776,11710
2020,1,송파구,11710631,가락1동,28032,11710
2020,1,강동구,11740620,천호3동,27543,11740
2020,1,강동구,11740610,천호2동,35714,11740
2020,1,강동구,11740600,천호1동,28223,11740
2020,1,강동구,11740590,암사3동,18517,11740
2020,1,강동구,11740580,암사2동,15521,11740
2020,1,강동구,11740570,암사1동,36492,11740
2020,1,강동구,11740660,성내3동,23887,11740
