연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11650610,방배2동,1374,59,32,123
2020,1,11650620,방배3동,729,18,10,53
2020,1,11650621,방배4동,1796,44,47,100
2020,1,11650651,양재1동,2654,96,69,221
2020,1,11650652,양재2동,3515,117,86,202
2020,1,11650660,내곡동,892,24,9,36
2020,1,11680510,신사동,3902,126,130,286
2020,1,11680521,논현1동,4146,170,142,297
2020,1,11680531,논현2동,4233,179,151,319
2020,1,11680545,압구정동,4015,145,129,228
2020,1,11680565,청담동,4187,135,147,198
2020,1,11680580,삼성1동,3426,131,77,283
2020,1,11680590,삼성2동,2791,107,81,217
2020,1,11680600,대치1동,1151,41,46,123
2020,1,11680610,대치2동,3043,77,78,227
2020,1,11680630,대치4동,3735,173,120,374
2020,1,11680640,역삼1동,11161,427,371,959
2020,1,11680650,역삼2동,2964,126,82,192
2020,1,11680655,도곡1동,1294,43,28,100
2020,1,11680656,도곡2동,1472,45,33,95
2020,1,11680660,개포1동,180,2,3,5
2020,1,11680670,개포2동,758,24,23,59
2020,1,11680690,개포4동,1382,46,38,79
2020,1,11680700,세곡동,1193,52,32,140
2020,1,11680720,일원본동,451,14,7,37
2020,1,11680730,일원1동,735,21,22,84
2020,1,11680740,일원2동,443,22,5,37
2020,1,11680750,수서동,853,27,23,106
2020,1,11710510,풍납1동,529,18,17,41
2020,1,11710520,풍납2동,895,27,25,75
2020,1,11710531,거여1동,610,19,19,49
2020,1,11710532,거여2동,637,20,17,64
2020,1,11710540,마천1동,664,28,22,44
2020,1,11710550,마천2동,941,40,24,67
2020,1,11710561,방이1동,1143,43,42,108
2020,1,11710562,방이2동,2419,107,63,206
2020,1,11710566,오륜동,476,10,11,46
2020,1,11710570,오금동,1740,62,49,118
2020,1,11710580,송파1동,1758,71,56,148
2020,1,11710590,송파2동,858,29,23,85
2020,1,11710600,석촌동,2380,119,77,208
2020,1,11710610,삼전동,1631,73,82,150
2020,1,11710620,가락본동,2577,87,72,221
2020,1,11710631,가락1동,3537,81,22,57
2020,1,11710632,가락2동,1532,50,45,130
2020,1,11710641,문정1동,1146,58,34,69
2020,1,11710642,문정2동,5562,239,128,469
2020,1,11710646,장지동,1022,39,33,78
2020,1,11710647,위례동,756,52,22,141
2020,1,11710650,잠실본동,2868,138,97,350
2020,1,11710670,잠실2동,897,58,26,98
2020,1,11710680,잠실3동,1761,63,50,157
2020,1,11710690,잠실4동,398,8,10,42
2020,1,11710710,잠실6동,1859,71,40,218
2020,1,11710720,잠실7동,200,5,2,13
2020,1,11740515,강일동,670,43,26,89
2020,1,11740520,상일동,697,56,15,53
2020,1,11740530,명일1동,1429,59,48,146
2020,1,11740540,명일2동,1033,36,33,130
2020,1,11740550,고덕1동,577,32,22,60
2020,1,11740560,고덕2동,649,70,11,47
2020,1,11740570,암사1동,1359,64,56,101
2020,1,11740580,암사2동,658,28,23,69
2020,1,11740590,암사3동,499,20,13,45
2020,1,11740600,천호1동,1062,37,40,114
2020,1,11740610,천호2동,3184,119,122,260
2020,1,11740620,천호3동,1517,58,50,126
2020,1,11740640,성내1동,1258,42,34,121
2020,1,11740650,성내2동,1435,40,49,117
2020,1,11740660,성내3동,1930,77,62,146
2020,1,11740685,길동,2826,107,90,249
2020,1,11740690,둔촌1동,32,0,3,3
2020,1,11740700,둔촌2동,1124,39,25,89
2020,2,11110515,청운효자동,814,25,16,24
2020,2,11110530,사직동,2670,79,63,186
2020,2,11110540,삼청동,674,15,21,47
2020,2,11110550,부암동,458,8,4,32
2020,2,11110560,평창동,666,22,9,35
2020,2,11110570,무악동,191,11,4,22
2020,2,11110580,교남동,371,18,10,60
2020,2,11110600,가회동,586,18,15,52
2020,2,11110615,종로1·2·3·4가동,10516,193,217,581
2020,2,11110630,종로5·6가동,1976,37,35,93
2020,2,11110640,이화동,786,17,18,134
2020,2,11110650,혜화동,1474,39,33,201
2020,2,11110670,창신1동,1816,38,29,49
2020,2,11110680,창신2동,400,11,10,22
2020,2,11110690,창신3동,178,3,2,18
2020,2,11110700,숭인1동,281,8,6,29
2020,2,11110710,숭인2동,922,31,27,70
2020,2,11140520,소공동,3008,69,57,249
2020,2,11140540,회현동,5451,95,99,234
2020,2,11140550,명동,4683,98,112,538
2020,2,11140570,필동,1224,30,20,133
2020,2,11140580,장충동,525,13,11,32
2020,2,11140590,광희동,5844,104,108,276
2020,2,11140605,을지로동,2828,75,42,114
2020,2,11140615,신당동,11927,339,241,121
2020,2,11140625,다산동,861,22,12,77
2020,2,11140635,약수동,698,19,10,66
2020,2,11140645,청구동,527,13,11,36
2020,2,11140650,신당5동,737,22,13,47
2020,2,11140665,동화동,555,24,11,39
2020,2,11140670,황학동,1390,37,13,73
2020,2,11140680,중림동,709,17,12,70
2020,2,11170510,후암동,798,27,11,46
2020,2,11170520,용산2가동,570,24,16,42
2020,2,11170530,남영동,1287,44,35,159
2020,2,11170555,청파동,1204,37,25,141
2020,2,11170560,원효로1동,1681,41,19,82
2020,2,11170570,원효로2동,919,15,18,36
2020,2,11170580,효창동,339,16,6,25
2020,2,11170590,용문동,532,15,11,38
2020,2,11170625,한강로동,4854,119,84,288
2020,2,11170630,이촌1동,852,27,9,76
2020,2,11170640,이촌2동,281,11,3,20
2020,2,11170650,이태원1동,1605,56,51,84
2020,2,11170660,이태원2동,799,34,31,41
2020,2,11170685,한남동,2203,83,51,126
2020,2,11170690,서빙고동,376,8,1,24
2020,2,11170700,보광동,752,21,18,40
2020,2,11200520,왕십리2동,519,15,16,58
2020,2,11200535,왕십리도선동,1827,82,46,168
2020,2,11200540,마장동,2352,39,17,58
2020,2,11200550,사근동,895,23,21,190
2020,2,11200560,행당1동,1192,34,43,140
2020,2,11200570,행당2동,525,9,14,58
2020,2,11200580,응봉동,295,9,10,21
2020,2,11200590,금호1가동,452,17,15,40
2020,2,11200615,금호2·3가동,851,30,21,67
2020,2,11200620,금호4가동,553,24,23,56
2020,2,11200645,옥수동,836,23,12,77
2020,2,11200650,성수1가1동,1007,43,13,65
2020,2,11200660,성수1가2동,1671,74,32,114
2020,2,11200670,성수2가1동,1460,53,26,104
2020,2,11200690,성수2가3동,2795,111,42,192
2020,2,11200720,송정동,442,17,5,15
2020,2,11200790,용답동,1281,31,24,72
2020,2,11215710,화양동,2290,106,77,360
2020,2,11215730,군자동,1257,46,22,122
2020,2,11215740,중곡1동,1133,59,32,69
2020,2,11215750,중곡2동,1144,37,23,81
2020,2,11215760,중곡3동,891,46,24,66
2020,2,11215770,중곡4동,1059,37,22,66
2020,2,11215780,능동,638,21,13,68
2020,2,11215810,광장동,1114,37,20,100
2020,2,11215820,자양1동,1326,55,41,121
2020,2,11215830,자양2동,1053,41,26,87
2020,2,11215840,자양3동,1308,44,17,143
2020,2,11215847,자양4동,1547,51,26,121
2020,2,11215850,구의1동,1485,57,34,126
2020,2,11215860,구의2동,955,35,17,85
2020,2,11215870,구의3동,2533,76,51,211
2020,2,11230536,용신동,2671,71,48,181
2020,2,11230545,제기동,3165,86,60,68
2020,2,11230560,전농1동,1977,73,44,181
2020,2,11230570,전농2동,617,16,17,76
2020,2,11230600,답십리1동,1153,43,22,89
2020,2,11230610,답십리2동,1642,33,25,81
2020,2,11230650,장안1동,2710,81,62,188
2020,2,11230660,장안2동,2156,55,59,238
2020,2,11230705,청량리동,1120,33,18,58
2020,2,11230710,회기동,983,34,28,149
2020,2,11230720,휘경1동,711,21,21,80
2020,2,11230730,휘경2동,568,21,12,57
2020,2,11230740,이문1동,969,28,18,108
2020,2,11230750,이문2동,487,24,19,38
2020,2,11260520,면목2동,1107,31,18,58
2020,2,11260540,면목4동,589,30,18,39
2020,2,11260550,면목5동,415,13,5,25
2020,2,11260565,면목본동,1611,57,34,109
2020,2,11260570,면목7동,995,35,21,54
2020,2,11260575,면목3·8동,1402,73,40,113
2020,2,11260580,상봉1동,875,39,19,92
2020,2,11260590,상봉2동,1546,66,26,149
2020,2,11260600,중화1동,626,19,13,42
