연도,분기,행정동_코드,행정동_코드_명,당월_매출_금액
2020,1,11110710,숭인2동,959886742
2020,1,11140520,소공동,24196757392
2020,1,11140520,소공동,1937690689
2020,1,11140520,소공동,2165501659
2020,1,11140520,소공동,1431195067
2020,1,11140520,소공동,1433649841
2020,1,11140520,소공동,993549113
2020,1,11140520,소공동,623494379
2020,1,11140520,소공동,1535398981
2020,1,11140520,소공동,1414186914
2020,1,11140520,소공동,6540830568
2020,1,11140520,소공동,33000000
2020,1,11140520,소공동,31918936
2020,1,11140520,소공동,17977533
2020,1,11140520,소공동,1773733574
2020,1,11140520,소공동,3740530604
2020,1,11140520,소공동,225010134
2020,1,11140520,소공동,108894653
2020,1,11140520,소공동,182749235
2020,1,11140520,소공동,370194307
2020,1,11140520,소공동,1481352
2020,1,11140520,소공동,15984817
2020,1,11140520,소공동,14728568
2020,1,11140520,소공동,12553088
2020,1,11140520,소공동,2900116736
2020,1,11140520,소공동,3721653529
2020,1,11140520,소공동,23144955
2020,1,11140520,소공동,89478774
2020,1,11140520,소공동,156777065
2020,1,11140520,소공동,2392499536
2020,1,11140520,소공동,109294658
2020,1,11140520,소공동,171985466
2020,1,11140520,소공동,1003284668
2020,1,11140520,소공동,7334539277
2020,1,11140520,소공동,934866379
2020,1,11140520,소공동,2124774
2020,1,11140520,소공동,1155641019
2020,1,11140520,소공동,2272305581
2020,1,11140520,소공동,416724738
2020,1,11140520,소공동,51142330
2020,1,11140520,소공동,12019974
2020,1,11140520,소공동,800000
2020,1,11140540,회현동,10566441670
2020,1,11140540,회현동,1100364750
2020,1,11140540,회현동,1640998931
2020,1,11140540,회현동,639098756
2020,1,11140540,회현동,1742530453
2020,1,11140540,회현동,534557911
2020,1,11140540,회현동,256300506
2020,1,11140540,회현동,1506499748
2020,1,11140540,회현동,270062665
2020,1,11140540,회현동,3221902477
2020,1,11140540,회현동,5608466212
2020,1,11140540,회현동,2182489422
2020,1,11140540,회현동,325045249
2020,1,11140540,회현동,45142762
2020,1,11140540,회현동,119320238
2020,1,11140540,회현동,58750139
2020,1,11140540,회현동,91873494
2020,1,11140540,회현동,2571756
2020,1,11140540,회현동,11130766
2020,1,11140540,회현동,1569456
2020,1,11140540,회현동,45000000
2020,1,11140540,회현동,539864138
2020,1,11140540,회현동,299905659
2020,1,11140540,회현동,2399391821
2020,1,11140540,회현동,2807386303
2020,1,11140540,회현동,8896532
2020,1,11140540,회현동,7835093026
2020,1,11140540,회현동,5403640
2020,1,11140540,회현동,785232337
2020,1,11140540,회현동,8077048991
2020,1,11140540,회현동,21402421611
2020,1,11140540,회현동,2820977784
2020,1,11140540,회현동,314521955
2020,1,11140540,회현동,4572557162
2020,1,11140540,회현동,1934884852
2020,1,11140540,회현동,3195520909
2020,1,11140540,회현동,24936349664
2020,1,11140540,회현동,1217163486
2020,1,11140540,회현동,7613426740
2020,1,11140540,회현동,532964539
2020,1,11140540,회현동,411270283
2020,1,11140540,회현동,3121631888
2020,1,11140540,회현동,474840765
2020,1,11140540,회현동,69863633
2020,1,11140540,회현동,1119455767
2020,1,11140540,회현동,10000000
2020,1,11140540,회현동,3010714743
2020,1,11140540,회현동,138539063
2020,1,11140540,회현동,110390940
2020,1,11140550,명동,34876381276
2020,1,11140550,명동,3614964647
2020,1,11140550,명동,3655460418
2020,1,11140550,명동,7376694444
2020,1,11140550,명동,2501436700
2020,1,11140550,명동,1233969066
2020,1,11140550,명동,480194891
2020,1,11140550,명동,2013713896
2020,1,11140550,명동,3131703676
2020,1,11140550,명동,15283321548
2020,1,11140550,명동,1176000000
2020,1,11140550,명동,1093509562
2020,1,11140550,명동,33474699
2020,1,11140550,명동,4494468
2020,1,11140550,명동,5437445644
2020,1,11140550,명동,6074288975
2020,1,11140550,명동,2184350995
2020,1,11140550,명동,102615956
2020,1,11140550,명동,35803167
2020,1,11140550,명동,1975358927
2020,1,11140550,명동,159755664
2020,1,11140550,명동,697077121
2020,1,11140550,명동,2120816074
2020,1,11140550,명동,104942269
2020,1,11140550,명동,44737268
2020,1,11140550,명동,5997528603
2020,1,11140550,명동,8558691529
2020,1,11140550,명동,152813783
2020,1,11140550,명동,11099433
2020,1,11140550,명동,23044498
2020,1,11140550,명동,1145045571
2020,1,11140550,명동,10738186336
2020,1,11140550,명동,6601460541
2020,1,11140550,명동,801679626
2020,1,11140550,명동,1737823735
2020,1,11140550,명동,1357633751
2020,1,11140550,명동,10567584585
2020,1,11140550,명동,224844839
2020,1,11140550,명동,2976368831
2020,1,11140550,명동,38578390450
2020,1,11140550,명동,605664725
2020,1,11140550,명동,353921380
2020,1,11140550,명동,137591763
2020,1,11140550,명동,131712520
2020,1,11140550,명동,8295203
2020,1,11140570,필동,8024096113
2020,1,11140570,필동,1125967947
2020,1,11140570,필동,425965837
2020,1,11140570,필동,474610209
2020,1,11140570,필동,484883290
2020,1,11140570,필동,66947559
2020,1,11140570,필동,131059136
2020,1,11140570,필동,1075632952
2020,1,11140570,필동,492208260
2020,1,11140570,필동,1496103314
2020,1,11140570,필동,4938940
2020,1,11140570,필동,180102958
2020,1,11140570,필동,749938396
2020,1,11140570,필동,244713406
2020,1,11140570,필동,165566480
2020,1,11140570,필동,129678509
2020,1,11140570,필동,90680985
2020,1,11140570,필동,203836822
2020,1,11140570,필동,200144066
2020,1,11140570,필동,178208014
2020,1,11140570,필동,53000000
2020,1,11140570,필동,46571476
2020,1,11140570,필동,886193797
2020,1,11140570,필동,2092800260
2020,1,11140570,필동,1909617864
2020,1,11140570,필동,595706676
2020,1,11140570,필동,8915677
2020,1,11140570,필동,18213518
2020,1,11140570,필동,790289315
2020,1,11140570,필동,2374110
2020,1,11140570,필동,259977669
2020,1,11140570,필동,355592
2020,1,11140570,필동,151217352
2020,1,11140570,필동,9979689
2020,1,11140570,필동,1174477358
2020,1,11140580,장충동,3397401709
2020,1,11140580,장충동,151241880
2020,1,11140580,장충동,191314071
2020,1,11140580,장충동,504964588
2020,1,11140580,장충동,603000000
2020,1,11140580,장충동,143505533
2020,1,11140580,장충동,26580672
2020,1,11140580,장충동,29516260
2020,1,11140580,장충동,134728244
2020,1,11140580,장충동,1031534419
2020,1,11140580,장충동,122911010
2020,1,11140580,장충동,221680922
2020,1,11140580,장충동,184051026
2020,1,11140580,장충동,4268560
2020,1,11140580,장충동,2708512
2020,1,11140580,장충동,20945960
2020,1,11140580,장충동,1297398388
2020,1,11140580,장충동,493360305
2020,1,11140580,장충동,144902751
2020,1,11140580,장충동,2910917114
2020,1,11140580,장충동,669164992
2020,1,11140580,장충동,74986033
2020,1,11140580,장충동,203287630
2020,1,11140580,장충동,141000000
2020,1,11140580,장충동,408690
2020,1,11140590,광희동,11609761049
2020,1,11140590,광희동,275692918
2020,1,11140590,광희동,712838791
2020,1,11140590,광희동,1310762422
2020,1,11140590,광희동,1041345449
2020,1,11140590,광희동,354182258
2020,1,11140590,광희동,258119065
2020,1,11140590,광희동,707084887
2020,1,11140590,광희동,1507295112
2020,1,11140590,광희동,1388048326
2020,1,11140590,광희동,653186254
2020,1,11140590,광희동,798660735
2020,1,11140590,광희동,66484668
2020,1,11140590,광희동,214868968
2020,1,11140590,광희동,313319710
2020,1,11140590,광희동,478109378
2020,1,11140590,광희동,236004169
2020,1,11140590,광희동,10447855
2020,1,11140590,광희동,57115760
2020,1,11140590,광희동,12688291
2020,1,11140590,광희동,286256551
2020,1,11140590,광희동,823954806
2020,1,11140590,광희동,910012898
2020,1,11140590,광희동,5372230319
2020,1,11140590,광희동,195039697
2020,1,11140590,광희동,36391911
2020,1,11140590,광희동,710698607
2020,1,11140590,광희동,2706453500
2020,1,11140590,광희동,153513659
2020,1,11140590,광희동,11776182131
2020,1,11140590,광희동,5236142459
2020,1,11140590,광희동,4702035027
2020,1,11140590,광희동,169252924
2020,1,11140590,광희동,61617179
2020,1,11140590,광희동,180838157
2020,1,11140590,광희동,411840
2020,1,11140590,광희동,3192546411
2020,1,11140590,광희동,177911804
2020,1,11140590,광희동,1170317354
2020,1,11140590,광희동,17233056379
2020,1,11140590,광희동,27259126934
2020,1,11140590,광희동,118111794
2020,1,11140590,광희동,37722251
