연도,분기,NM,행정동_코드,전체,1층,1층외,영역_면적
2020,1,중앙동,11620615,99556,125894,73219,384728
2020,1,중화1동,11260600,64822,85220,44424,641493
2020,1,중화2동,11260610,71423,103485,39360,1016955
2020,1,증산동,11380640,71527,102552,40502,807409
2020,1,진관동,11380690,111271,116545,105998,11565110
2020,1,창1동,11320511,71656,90213,53098,1122171
2020,1,창2동,11320512,65724,89858,41590,654442
2020,1,창3동,11320513,92028,92028,,655485
2020,1,창4동,11320514,114773,165312,64235,1140172
2020,1,창5동,11320515,92036,128163,55909,701480
2020,1,창신1동,11110670,160810,204978,116642,305337
2020,1,창신2동,11110680,76863,91336,62389,257323
2020,1,창신3동,11110690,94049,,94049,216835
2020,1,천연동,11410520,93689,127557,59820,982817
2020,1,천호1동,11740600,73074,94463,51684,668998
2020,1,천호2동,11740610,92035,118677,65394,1850853
2020,1,천호3동,11740620,96306,113435,79178,561872
2020,1,청구동,11140645,73679,71725,75633,342571
2020,1,청담동,11680565,152947,185754,120140,2329217
2020,1,청량리동,11230705,70277,88654,51901,1204398
2020,1,청룡동,11620595,103998,143819,64176,1195604
2020,1,청림동,11620545,80453,80453,,297155
2020,1,청운효자동,11110515,130611,165848,95374,2568432
2020,1,청파동,11170555,105309,143751,66867,886225
2020,1,충현동,11410565,95682,110312,81052,1116001
2020,1,평창동,11110560,86237,86046,86429,8947328
2020,1,풍납1동,11710510,68683,89995,47372,1075294
2020,1,풍납2동,11710520,77444,102056,52832,2564554
2020,1,필동,11140570,120813,160609,81017,1464686
2020,1,하계1동,11350611,83357,104567,62147,1527061
2020,1,하계2동,11350612,135735,189839,81632,500023
2020,1,한강로동,11170625,117751,138682,96820,2869816
2020,1,한남동,11170685,125007,145118,104895,3031897
2020,1,합정동,11440680,141289,159000,123579,1712389
2020,1,항동,11530800,,,,1446941
2020,1,행당1동,11200560,148575,139883,157268,573566
2020,1,행당2동,11200570,124586,167266,81905,457669
2020,1,행운동,11620575,88525,105537,71513,718235
2020,1,혜화동,11110650,125787,156568,95007,1132421
2020,1,홍은1동,11410660,64644,73979,55309,1615140
2020,1,홍은2동,11410685,78111,98888,57334,2075085
2020,1,홍제1동,11410620,118127,134221,102033,1235632
2020,1,홍제2동,11410655,111686,173398,49975,699978
2020,1,홍제3동,11410640,72883,108688,37078,1192508
2020,1,화곡1동,11500540,75436,96331,54541,1197746
2020,1,화곡2동,11500550,56295,81370,31220,454621
2020,1,화곡3동,11500560,98854,133359,64348,521858
2020,1,화곡4동,11500570,86086,110102,62070,852049
2020,1,화곡6동,11500591,94170,109570,78769,1037911
2020,1,화곡8동,11500593,84593,130688,38498,593322
2020,1,화곡본동,11500590,98280,113843,82718,972735
2020,1,화양동,11215710,125955,165353,86557,1166008
2020,1,황학동,11140670,110439,130424,90455,328640
2020,1,회기동,11230710,100856,134507,67206,766917
2020,1,회현동,11140540,345216,380702,309730,897827
2020,1,효창동,11170580,104799,138258,71339,446197
2020,1,후암동,11170510,86965,114071,59860,865892
2020,1,휘경1동,11230720,100194,148726,51663,521796
2020,1,휘경2동,11230730,84106,118081,50130,1113609
2020,1,흑석동,11590605,102493,128533,76452,1708306
2020,2,가락1동,11710631,177860,169185,186535,1393228
2020,2,가락2동,11710632,89747,115464,64031,932311
2020,2,가락본동,11710620,109341,143558,75124,1014738
2020,2,가리봉동,11530595,94404,128673,60136,410996
2020,2,가산동,11545510,126553,166558,86548,2512852
2020,2,가양1동,11500603,146943,206388,87499,4970691
2020,2,가양2동,11500604,116596,157863,75329,823874
2020,2,가양3동,11500605,115366,143167,87564,474228
2020,2,가회동,11110600,134474,150658,118290,539955
2020,2,갈현1동,11380551,89128,109995,68262,961071
2020,2,갈현2동,11380552,84658,111055,58262,985165
2020,2,강일동,11740515,151294,217976,84612,3647520
2020,2,개봉1동,11530740,69503,91468,47537,1320319
2020,2,개봉2동,11530750,103270,118448,88091,782524
2020,2,개봉3동,11530760,66288,93711,38865,828418
2020,2,개포1동,11680660,81064,,81064,1449952
2020,2,개포2동,11680670,122048,157113,86983,2243338
2020,2,개포4동,11680690,71529,88367,54691,1665461
2020,2,거여1동,11710531,83654,97746,69563,522308
2020,2,거여2동,11710532,78568,111590,45545,612901
2020,2,고덕1동,11740550,105498,134010,76986,1518495
2020,2,고덕2동,11740560,180886,216979,144794,2206786
2020,2,고척1동,11530720,103939,151326,56552,1151238
2020,2,고척2동,11530730,82973,91993,73952,1025572
2020,2,공덕동,11440565,91731,98573,84888,1019197
2020,2,공릉1동,11350595,87813,111611,64015,1263261
2020,2,공릉2동,11350600,101714,120824,82604,6983449
2020,2,공항동,11500620,95993,101476,90511,10861768
2020,2,광장동,11215810,109347,140039,78656,2393761
2020,2,광희동,11140590,200197,203825,196568,737204
2020,2,교남동,11110580,196610,223640,169580,346926
2020,2,구로1동,11530520,132152,162310,101995,1008892
2020,2,구로2동,11530530,109804,121898,97709,1703350
2020,2,구로3동,11530540,139611,172368,106854,1040120
2020,2,구로4동,11530550,103352,145626,61079,524507
2020,2,구로5동,11530560,101139,101415,100862,1012473
