"연도","분기","행정동_코드","행정동_코드_명","점포_수","유사_업종_점포_수","개업_점포_수","폐업_점포_수","프랜차이즈_점포_수","총_유동인구_수","총_상주인구_수","총_직장_인구_수","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수","추정매출액","전체","첫번째층","첫번째층외","영역_면적"
2020,1,"11320514","창4동",867,954,41,30,87,3570538,27812,1594,130,7,4,,,8,1,2,1,2,,,,,,,,,,51,21584192242,114773,165312,64235,1140172
2020,1,"11320515","창5동",985,1116,41,42,131,5307168,25409,5200,119,7,3,,3,12,1,3,,,,,,2,,,,,2,24,37605323703,92036,128163,55909,701480
2020,1,"11320521","도봉1동",1024,1115,37,34,91,3648124,22070,1718,122,4,1,,,9,2,2,1,1,2,,1,,,,,,,38,35997727392,66538,105544,27532,8451468
2020,1,"11320522","도봉2동",856,902,28,31,46,3337433,26045,748,127,8,3,,,7,1,1,1,1,1,,,,1,,,,3,49,10091388484,70530,90561,50499,1119031
2020,1,"11320660","쌍문1동",506,554,24,22,48,5498028,22086,812,126,6,1,,1,4,1,3,,1,17,,,,,,,,,54,10011872775,60959,60959,,1175774
2020,1,"11320670","쌍문2동",827,912,27,23,85,5314921,19893,998,87,3,1,,1,10,1,1,1,,,,,,2,,,,,19,23481675281,69709,92455,46962,541193
2020,1,"11320680","쌍문3동",663,726,27,22,63,5387938,17046,1107,78,3,3,1,,12,,,1,,,,,,1,,,,1,17,19277927741,70098,108548,31648,504805
2020,1,"11320681","쌍문4동",396,438,17,12,42,2998818,19772,160,64,1,,,,4,5,2,2,3,,,,,,,,,,23,9429882061,76669,95068,58269,554868
2020,1,"11320690","방학1동",1604,1782,79,60,178,7467452,29724,3094,148,6,6,,2,15,2,1,1,1,,,,,,,,,1,39,40111886776,77159,109778,44539,1040857
2020,1,"11320700","방학2동",715,755,22,25,40,3579262,20934,810,64,3,,,,7,,1,1,,,,,,,,,,,23,27365073296,55733,81573,29894,1092814
2020,1,"11320710","방학3동",466,507,16,16,41,4131680,28734,1081,112,3,3,,,6,3,3,1,,,,,,,,,,,47,10773276663,62113,79830,44395,1951026
