연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11170570,원효로2동,3817026,797950000,143236571549.0,922,25,31,38,3724609,69,4.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2765.0,79144.0,91145.0,67143.0,708975,both
2020,1,11170580,효창동,3523201,937402000,8428004395.0,329,16,9,25,4112049,66,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,1251.0,104799.0,138258.0,71339.0,446197,both
2020,1,11170590,용문동,3568910,1287223000,15328709430.0,528,17,18,38,3276869,54,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2388.0,95578.0,119493.0,71663.0,277531,both
2020,1,11170625,한강로동,4948344,26764394000,861233208336.0,4819,134,129,283,4958607,242,19.0,19.0,0.0,0.0,21.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,7.0,41.0,42930.0,117751.0,138682.0,96820.0,2869816,both
2020,1,11170630,이촌1동,5974291,2525734000,29306609993.0,834,26,15,75,5421279,102,4.0,9.0,0.0,1.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5274.0,186353.0,276639.0,96067.0,2872767,both
2020,1,11170640,이촌2동,3596083,540815000,4283594371.0,273,9,10,16,1905419,26,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1547.0,73394.0,73394.0,,1205543,both
2020,1,11170650,이태원1동,3682946,7912835000,63426901975.0,1600,44,76,80,2497588,71,8.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,22194.0,172035.0,200018.0,144053.0,582899,both
2020,1,11170660,이태원2동,3261019,1532461000,10171484497.0,796,32,46,40,3396366,60,8.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1112.0,125322.0,137777.0,112866.0,874243,both
2020,1,11170685,한남동,4381088,9492748000,66433883518.0,2171,109,69,128,7252958,171,30.0,11.0,1.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,35228.0,125007.0,145118.0,104895.0,3031897,both
2020,1,11170690,서빙고동,4208562,955666000,2905162011.0,369,15,7,24,2086802,61,15.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7218.0,79215.0,73081.0,85350.0,2821948,both
