연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11200590,금호1가동,6539383423,450,16,17,42,92480.0,117966.0,66995.0,444872,88,2.0,,,,6.0,1.0,1.0,,1.0,,,,,,,,,1.0,45.0,15816,1349.0,4082172
2020,1,11200615,금호23가동,15058633417,842,29,24,67,108308.0,136080.0,80535.0,631196,135,3.0,2.0,,,13.0,,1.0,,,,,,,,,,,,46.0,24052,447.0,7030499
2020,1,11200620,금호4가동,8021242388,552,16,10,55,98200.0,123297.0,73103.0,832333,84,3.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,27.0,14812,691.0,3242120
2020,1,11200645,옥수동,13436067418,825,39,24,76,133437.0,157397.0,109477.0,1922027,129,4.0,2.0,,,10.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,45.0,27174,1764.0,3298833
2020,1,11200650,성수1가1동,18647038146,977,50,26,66,91312.0,114907.0,67717.0,1885875,83,4.0,2.0,,,4.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,1.0,33.0,16849,2148.0,2986535
2020,1,11200660,성수1가2동,40653884782,1629,79,31,112,105070.0,124328.0,85812.0,930086,79,3.0,6.0,,,6.0,,,1.0,1.0,1.0,,,,,,,,1.0,12.0,14194,5342.0,6312444
2020,1,11200670,성수2가1동,50578261411,1433,69,46,99,65680.0,81475.0,49885.0,1184964,109,3.0,3.0,,,13.0,,1.0,2.0,1.0,,,2.0,,1.0,,,,,38.0,17138,7914.0,5509678
2020,1,11200690,성수2가3동,87343327217,2726,127,60,189,98587.0,113871.0,83302.0,1054501,104,3.0,16.0,,,11.0,,2.0,,,,,,1.0,,,,,1.0,20.0,11349,22685.0,5692383
2020,1,11200720,송정동,4342073871,430,16,5,14,73201.0,92046.0,54356.0,681916,44,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,17.0,10955,878.0,3396646
2020,1,11200790,용답동,26632759900,1274,39,37,72,81000.0,107836.0,54164.0,2377148,82,7.0,2.0,,,8.0,,1.0,,,,,1.0,,,,,,2.0,11.0,12297,2792.0,3149214
2020,1,11215710,화양동,71866957873,2261,111,80,348,125955.0,165353.0,86557.0,1166008,167,3.0,5.0,1.0,,17.0,,2.0,2.0,1.0,34.0,,,1.0,,,,,2.0,16.0,21879,1335.0,9347518
