연도,분기,행정동_코드_명,행정동_코드,시세_전체,시세_1층,시세_1층외,영역_면적,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,폐업률,개업률,업종_밀도,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,집객시설_총계,총_유동인구_수,총_상주인구_수,총_직장인구_수
2020,1,도림동,11560585,69993.0,93745.0,46241.0,585885,3031484.0,2260503000.0,11729878137.0,698,25,19,41,2.72,3.58,0.12,,,,,,,,,,,,,,,,,,,,,,5692338,18924,706.0
2020,1,도봉1동,11320521,66538.0,105544.0,27532.0,8451468,2275377.0,3452960000.0,35997727392.0,1115,37,34,91,3.05,3.32,0.01,,,,,,,,,,,,,,,,,,,,,,3648124,22070,1718.0
2020,1,도봉2동,11320522,70530.0,90561.0,50499.0,1119031,2811820.0,2070702000.0,10091388484.0,902,28,31,46,3.44,3.1,0.08,,,,,,,,,,,,,,,,,,,,,,3337433,26045,748.0
2020,1,도화동,11440585,137812.0,156659.0,118966.0,625018,4217433.0,5836589000.0,38923137973.0,1456,54,39,140,2.68,3.71,0.23,,,,,,,,,,,,,,,,,,,,,,5301231,18617,12438.0
2020,1,독산1동,11545610,97860.0,94595.0,101125.0,2061921,3000453.0,9692360000.0,236694993731.0,2388,85,71,213,2.97,3.56,0.12,,,,,,,,,,,,,,,,,,,,,,5306119,41180,11846.0
2020,1,독산2동,11545620,55292.0,84092.0,26493.0,617174,2251577.0,2179981000.0,17119110406.0,736,28,27,59,3.67,3.8,0.12,,,,,,,,,,,,,,,,,,,,,,3439562,19428,1367.0
2020,1,독산3동,11545630,66196.0,84324.0,48067.0,934985,2386851.0,3492317000.0,28154823172.0,1328,37,31,82,2.33,2.79,0.14,,,,,,,,,,,,,,,,,,,,,,5759682,25155,3618.0
2020,1,독산4동,11545640,87244.0,99794.0,74694.0,591045,2255044.0,1983733000.0,15203659836.0,666,25,19,59,2.85,3.75,0.11,,,,,,,,,,,,,,,,,,,,,,4972002,16029,1482.0
2020,1,돈암1동,11290580,73653.0,,73653.0,488898,3583117.0,983490000.0,4659584795.0,375,10,8,24,2.13,2.67,0.08,,,,,,,,,,,,,,,,,,,,,,3411635,16140,103.0
2020,1,돈암2동,11290590,,,,518335,4297592.0,768520000.0,4287833901.0,439,23,11,35,2.51,5.24,0.08,,,,,,,,,,,,,,,,,,,,,,3083493,24943,431.0
