연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11500535,등촌3동,49391372500,3403390,7788177000,5502006,32405,13486.0,124563.0,151720.0,97406.0,1060362.0,184,1882,98,78,217
2020,1,11200540,마장동,21092180804,3021967,4668958000,6324687,23348,6773.0,86683.0,117459.0,55906.0,1035276.0,111,2330,47,48,57
2020,1,11710540,마천1동,17999319039,2435636,1436292000,4096311,20581,622.0,58439.0,85543.0,31335.0,575258.0,73,664,28,22,44
2020,1,11710550,마천2동,24507265292,2339431,3268006000,6103649,20030,1635.0,70177.0,104499.0,35855.0,890688.0,93,941,40,24,67
2020,1,11260660,망우3동,10832112786,2231082,1084563000,5049120,17496,423.0,46838.0,66780.0,26897.0,962561.0,54,547,21,18,36
2020,1,11260655,망우본동,47087100811,2443681,6090602000,9805368,30726,1589.0,63296.0,80079.0,46512.0,2948109.0,238,1775,62,73,146
2020,1,11440690,망원1동,35407577690,2802536,4660592000,6466857,16504,2980.0,107160.0,138108.0,76212.0,1101005.0,95,1409,55,38,88
2020,1,11440700,망원2동,23013761163,2912810,2831968000,6840919,14468,4621.0,110348.0,123015.0,97680.0,676411.0,83,1105,32,26,78
2020,1,11260520,면목2동,15820515109,2322173,2977401000,6953351,25638,1066.0,57289.0,75998.0,38579.0,763122.0,112,1094,46,32,57
2020,1,11260575,면목3·8동,27031547900,2354962,3225144000,6999538,26316,1713.0,68546.0,86897.0,50195.0,1614117.0,150,1369,57,49,111
2020,1,11260540,면목4동,9394978843,2573570,728519000,6022143,19810,769.0,48376.0,68950.0,27801.0,843466.0,61,577,22,21,38
2020,1,11260550,면목5동,8748193542,2233073,1504624000,2418625,9571,991.0,60955.0,70552.0,51357.0,704936.0,42,407,18,11,25
2020,1,11260570,면목7동,34260002287,2655671,3140483000,8016605,21358,946.0,95457.0,139059.0,51855.0,1236134.0,108,981,41,36,55
2020,1,11260565,면목본동,43391682601,2336892,3185578000,10926104,35487,1335.0,74416.0,97154.0,51678.0,849019.0,168,1588,62,53,109
2020,1,11140550,명동,186121893053,3733600,47775806000,5055905,2675,123928.0,185537.0,229724.0,141351.0,969729.0,542,4697,120,102,544
2020,1,11740530,명일1동,40834553799,3540203,5272778000,5187682,21639,3780.0,86716.0,112232.0,61200.0,634942.0,151,1429,59,48,146
2020,1,11740540,명일2동,38071581845,4514278,3966441000,2281495,17726,2521.0,91242.0,125678.0,56806.0,914329.0,107,1033,36,33,130
2020,1,11470510,목1동,59650537177,5667672,218025600000,5817182,31902,13488.0,129627.0,164926.0,94327.0,1433111.0,190,2741,115,86,331
2020,1,11470520,목2동,23340461325,3244963,5111755000,7918501,31151,2860.0,92050.0,112120.0,71980.0,1021355.0,97,1004,41,24,74
2020,1,11470530,목3동,33351496350,3101712,5111823000,5321324,22890,1685.0,91644.0,121981.0,61307.0,531850.0,96,1076,32,31,95
2020,1,11470540,목4동,24049121991,3426858,4459225000,6037355,26744,2011.0,82134.0,111534.0,52733.0,577493.0,84,1145,39,39,105
2020,1,11470550,목5동,34086758390,5987821,9500235000,5283515,42852,15306.0,147299.0,206114.0,88483.0,1766361.0,143,1580,68,52,174
2020,1,11110570,무악동,4348627840,5136717,1629290000,1961315,8074,451.0,,,,369520.0,42,184,6,3,22
2020,1,11260620,묵1동,26671544525,3120718,3404811000,7766456,35850,912.0,93656.0,125195.0,62118.0,1238436.0,144,1101,32,28,108
2020,1,11260630,묵2동,21390575669,2533867,2824431000,6062386,19656,1390.0,59288.0,78054.0,40522.0,669204.0,92,915,20,21,58
2020,1,11560605,문래동,86483989838,4019445,8249223000,10880482,31722,57767.0,87074.0,99035.0,75114.0,1786708.0,185,2562,103,58,216
2020,1,11710641,문정1동,21385637452,3568357,2973062000,4992105,20832,31693.0,81995.0,91609.0,72382.0,612546.0,70,1146,58,34,69
2020,1,11710642,문정2동,92871680893,4425648,21615192000,3384333,30399,30105.0,149340.0,200885.0,97794.0,2242033.0,149,5562,239,128,469
2020,1,11620765,미성동,19649977206,2676537,3395418000,6475177,31961,3064.0,79124.0,99183.0,59065.0,1359429.0,126,1099,42,29,97
2020,1,11305535,미아동,32871043742,2318870,4079220000,8515342,22316,1214.0,81506.0,90833.0,72178.0,841204.0,144,1220,49,43,100
2020,1,11650560,반포1동,53168514838,5338302,8544301000,7922838,30491,6436.0,144080.0,161517.0,126643.0,992368.0,140,1654,59,42,133
2020,1,11650570,반포2동,14618048181,6812331,1189220000,1390276,16177,1948.0,169613.0,,169613.0,1396031.0,74,361,9,7,23
2020,1,11650580,반포3동,64036394162,6140775,3667158000,2671987,18406,3165.0,143783.0,195925.0,91641.0,1251708.0,109,1142,39,29,75
2020,1,11650581,반포4동,63168286864,5280483,20900618000,5095157,19576,58955.0,171243.0,223274.0,119213.0,1427141.0,130,3288,110,84,280
2020,1,11650550,반포본동,3102601660,5583021,1494580000,867406,12084,11263.0,98376.0,119234.0,77517.0,972536.0,33,599,15,20,36
2020,1,11500611,발산1동,155803244716,3192517,13442127000,5774220,38619,2302.0,90475.0,120116.0,60835.0,2887669.0,246,2876,194,65,215
2020,1,11650600,방배1동,65794316566,4069239,5660759000,4809604,17339,18441.0,115527.0,146013.0,85041.0,689244.0,102,1310,50,46,139
2020,1,11650610,방배2동,35733431230,3864301,97215640000,5897055,20781,12555.0,111573.0,121072.0,102074.0,1904030.0,114,1374,59,32,123
2020,1,11650620,방배3동,21656034441,4681587,3716533000,3959969,22141,14532.0,121518.0,183670.0,59366.0,2375134.0,112,729,18,10,53
2020,1,11650621,방배4동,50466442223,4557937,4669538000,6740115,23764,15638.0,104393.0,129396.0,79390.0,949527.0,156,1796,44,47,100
2020,1,11650590,방배본동,42425965716,4856162,12293879000,5917707,21317,22144.0,85623.0,113316.0,57930.0,677510.0,103,1365,41,36,96
2020,1,11710561,방이1동,27320694892,3970520,4564240000,3335569,16384,8614.0,93078.0,134140.0,52016.0,609259.0,73,1143,43,42,108
2020,1,11710562,방이2동,79850125865,2928271,13771668000,6581751,25553,40875.0,108088.0,142644.0,73532.0,769841.0,164,2419,107,63,206
2020,1,11320690,방학1동,40111886776,2895702,7178665000,7467452,29724,3094.0,77159.0,109778.0,44539.0,1040857.0,148,1782,79,60,178
2020,1,11320700,방학2동,27365073296,2099146,1689706000,3579262,20934,810.0,55733.0,81573.0,29894.0,1092814.0,64,755,22,25,40
2020,1,11320710,방학3동,10773276663,2962092,1406892000,4131680,28734,1081.0,62113.0,79830.0,44395.0,1951026.0,112,507,16,16,41
2020,1,11500630,방화1동,40738259450,3407916,5701647000,8328205,45180,4187.0,92595.0,113398.0,71792.0,1475606.0,200,1885,88,57,205
2020,1,11500640,방화2동,21855493689,2708397,6459526000,6740276,23794,2319.0,70618.0,76013.0,65222.0,6157541.0,124,1580,64,56,145
