요청구,연도,분기,NM,GUBUN,전체,1층,1층외
종로구,2024,2,사직동,dong,184123.0,235516.0,132729.0
종로구,2024,2,삼청동,dong,153171.0,153171.0,
종로구,2024,2,부암동,dong,98167.0,115405.0,80929.0
종로구,2024,2,평창동,dong,101501.0,83479.0,119522.0
종로구,2024,2,무악동,dong,,,
종로구,2024,2,교남동,dong,184128.0,215432.0,152824.0
종로구,2024,2,가회동,dong,171799.0,233527.0,110071.0
종로구,2024,2,종로1·2·3·4가동,dong,200140.0,269591.0,130688.0
종로구,2024,2,종로5·6가동,dong,277462.0,273313.0,281611.0
종로구,2024,2,이화동,dong,141860.0,178429.0,105291.0
종로구,2024,2,혜화동,dong,125576.0,159892.0,91260.0
종로구,2024,2,창신1동,dong,195161.0,262631.0,127691.0
종로구,2024,2,창신2동,dong,91104.0,105489.0,76719.0
종로구,2024,2,창신3동,dong,214241.0,214241.0,
종로구,2024,2,숭인1동,dong,121027.0,183505.0,58548.0
종로구,2024,2,숭인2동,dong,158589.0,205581.0,111597.0
종로구,2024,3,종로구,gu,190088.0,223395.0,156781.0
종로구,2024,3,청운효자동,dong,156899.0,201922.0,111876.0
종로구,2024,3,사직동,dong,167839.0,219567.0,116110.0
종로구,2024,3,삼청동,dong,172621.0,172621.0,
종로구,2024,3,부암동,dong,98504.0,101387.0,95622.0
종로구,2024,3,평창동,dong,83654.0,82149.0,85159.0
종로구,2024,3,무악동,dong,139803.0,139803.0,
종로구,2024,3,교남동,dong,189352.0,218656.0,160048.0
종로구,2024,3,가회동,dong,168867.0,223593.0,114141.0
종로구,2024,3,종로1·2·3·4가동,dong,195561.0,260361.0,130761.0
종로구,2024,3,종로5·6가동,dong,258263.0,257553.0,258974.0
종로구,2024,3,이화동,dong,121294.0,150927.0,91662.0
종로구,2024,3,혜화동,dong,126162.0,160932.0,91392.0
종로구,2024,3,창신1동,dong,221391.0,288535.0,154246.0
종로구,2024,3,창신2동,dong,96635.0,105343.0,87928.0
종로구,2024,3,창신3동,dong,275360.0,275360.0,
