"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"경기",탄현역,소계,12.6,15.7,15.7,15.7,15.8,15.8,15.8,15.8,16.7,18.7
"경기",파주시청,소계,6.1,6.1,6.1,6.1,6.1,10.0,10.0,10.6,8.9,11.1
"경기",팔달문로터리,소계,17.0,17.5,19.2,17.6,19.6,21.3,20.6,20.0,20.0,21.5
"경기",평택역,소계,5.3,5.7,6.3,7.4,8.4,6.3,6.8,7.1,7.1,7.6
"경기",포천시외버스터미널,소계,15.6,15.6,15.6,17.2,14.8,14.8,12.5,12.5,12.0,13.1
"경기",하남원도심,소계,13.1,12.1,12.1,18.2,19.0,16.8,16.8,17.8,17.8,17.8
"강원",소계,소계,13.6,13.2,13.9,14.9,15.3,15.5,15.5,15.2,15.4,16.4
"강원",강릉교동,소계,1.9,1.9,3.7,2.6,2.6,2.6,3.0,2.3,2.9,2.9
"강원",강릉중부,소계,11.4,9.5,10.9,10.9,13.2,13.9,14.8,13.4,13.4,14.1
"강원",묵호항,소계,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,14.2,17.7
"강원",삼척중앙시장,소계,14.9,11.4,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"강원",속초중앙시장,소계,19.3,17.3,15.3,16.7,16.7,16.7,16.7,16.7,21.4,19.1
"강원",영월경찰서,소계,8.3,8.3,10.5,8.3,8.3,10.5,10.5,10.5,10.5,10.5
"강원",원주중앙/일산,소계,31.7,30.4,30.4,31.0,30.0,31.0,30.4,30.4,30.4,35.0
"강원",원주터미널,소계,7.7,7.7,7.7,10.7,14.5,14.5,14.5,14.5,14.5,14.5
"강원",주문진항,소계,11.8,11.8,14.9,14.9,14.9,14.9,11.8,11.8,11.8,11.8
"강원",춘천명동,소계,17.6,18.2,21.4,24.4,23.8,22.3,22.0,21.2,20.5,21.4
"강원",태백중앙시장,소계,8.6,11.6,11.6,14.6,14.6,14.6,14.6,14.6,15.2,15.2
"충북",소계,소계,16.3,16.9,17.6,17.6,17.4,18.0,18.3,18.6,18.9,20.1
"충북",봉명사거리,소계,3.5,3.5,3.5,3.5,3.5,1.1,1.1,1.1,1.1,1.1
"충북",제천역,소계,11.7,11.7,11.7,11.7,11.7,11.7,10.3,10.3,10.3,10.3
"충북",제천중앙,소계,23.6,23.6,24.4,24.4,24.4,27.5,28.3,28.9,28.9,29.5
"충북",증평광장로,소계,10.5,10.5,14.1,14.1,14.1,18.6,16.8,16.8,16.8,16.8
"충북",청주성안길,소계,24.8,25.0,28.1,27.5,26.3,26.8,30.0,30.3,31.0,33.7
"충북",충북대학교,소계,20.6,20.6,20.6,20.6,20.6,22.2,22.2,23.3,23.3,27.7
"충북",충주연수칠금,소계,8.7,11.3,10.5,11.4,7.7,7.7,7.7,8.7,10.5,12.0
"충북",충주자유시장,소계,23.3,23.3,23.5,23.5,25.2,27.9,27.9,27.8,27.8,32.6
"충남",소계,소계,14.5,13.8,15.1,14.6,14.4,14.4,13.9,14.4,14.6,14.8
"충남",강경젓갈시장,소계,13.1,13.1,13.1,13.1,23.4,13.1,13.1,13.1,13.1,13.1
"충남",공주대,소계,13.2,14.0,12.0,12.7,8.2,8.9,8.7,12.5,12.5,10.2
"충남",공주웅진동,소계,10.4,8.5,11.8,12.2,13.6,15.7,16.5,16.5,14.0,13.1
"충남",논산시외버스터미널,소계,16.4,15.3,15.3,16.5,16.5,14.3,14.8,14.8,14.8,15.3
"충남",당진시청,소계,12.2,8.8,8.8,10.8,10.8,8.8,5.8,5.8,3.7,4.1
"충남",두정,소계,10.0,7.1,11.6,10.9,9.8,9.8,13.0,13.5,16.0,15.3
"충남",배방읍,소계,8.9,8.9,13.0,14.0,12.6,16.7,8.6,8.6,9.8,8.3
"충남",보령문화의전당,소계,15.3,14.9,13.1,10.5,10.5,10.5,9.4,9.4,10.5,10.5
"충남",서산터미널,소계,24.8,26.5,26.4,26.4,28.2,26.8,24.9,26.1,27.7,28.7
"충남",아산온양,소계,10.9,7.3,10.5,10.5,10.8,10.7,10.0,14.1,15.1,15.1
"충남",예산시장,소계,14.5,15.5,15.5,15.5,16.1,16.1,15.5,18.0,13.4,12.8
"충남",천안역,소계,13.3,15.3,17.2,14.2,12.1,14.5,17.9,14.6,14.6,17.5
"충남",천안종합버스터미널,소계,11.9,15.7,15.7,14.0,14.0,13.3,11.8,11.9,13.1,13.1
"충남",태안터미널,소계,12.2,12.2,14.0,8.0,8.0,8.4,8.0,5.5,5.5,8.8
"충남",합덕버스터미널,소계,19.4,19.4,19.4,19.4,18.4,18.4,19.6,20.8,25.2,25.2
"전북",소계,소계,16.0,16.5,17.4,17.8,18.4,18.3,18.9,19.2,19.3,19.1
"전북",군산구도심,소계,14.3,13.4,14.9,15.6,16.7,16.4,17.1,17.0,16.0,17.5
"전북",김제시장,소계,18.3,18.3,21.0,19.4,23.6,23.6,23.6,23.6,22.4,22.4
"전북",남원광한루,소계,17.4,17.4,17.4,17.4,17.4,17.4,17.8,17.8,15.5,13.7
"전북",송천동,소계,10.7,12.1,13.5,13.0,13.8,16.8,19.7,16.8,21.9,19.7
"전북",영등부송,소계,19.6,20.2,24.8,24.1,24.1,20.9,22.1,19.2,19.2,20.8
"전북",익산역,소계,24.1,24.1,24.2,24.2,26.0,26.0,27.6,28.4,28.4,26.1
