지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11500570,화곡4동,120781,109244,110102,71869,72040,62070,2020,1
11500590,화곡본동,108479,116375,113843,66241,69171,82718,2020,1
11500591,화곡6동,108979,109083,109570,77308,78952,78769,2020,1
11500593,화곡8동,131435,134596,130688,57001,44341,38498,2020,1
11500603,가양1동,229347,221169,223449,91790,90087,86048,2020,1
11500604,가양2동,168512,168512,163956,53566,49064,66903,2020,1
11500605,가양3동,113144,151527,193679,111767,98350,83367,2020,1
11500611,발산1동,123580,118527,120116,54503,58751,60835,2020,1
11500615,우장산동,125925,121042,129003,73938,79120,77001,2020,1
11500620,공항동,105695,97439,92974,46698,89061,89183,2020,1
11500630,방화1동,115004,118600,113398,64383,68228,71792,2020,1
11500640,방화2동,61127,68912,76013,62543,67879,65222,2020,1
11500641,방화3동,141200,148254,151230,59419,62886,67207,2020,1
11530,구로구,118758,119714,119986,89128,90650,85037,2020,1
11530510,신도림동,140322,134139,135559,119927,105068,93775,2020,1
11530520,구로1동,135533,124888,153878,44850,55590,61229,2020,1
11530530,구로2동,117441,117698,111513,84349,83139,81709,2020,1
11530540,구로3동,162745,160800,155814,110558,111288,103508,2020,1
11530550,구로4동,131056,141528,152001,98250,103073,76562,2020,1
11530560,구로5동,94525,95918,96066,118870,121098,111589,2020,1
11530595,가리봉동,103469,110457,117551,39234,42780,51764,2020,1
11530720,고척1동,130441,142117,142898,45193,54497,54441,2020,1
11530730,고척2동,82524,88922,84911,42502,42162,47568,2020,1
11530740,개봉1동,77208,76321,85716,53061,57016,54595,2020,1
11530750,개봉2동,138161,122749,122771,129207,127271,110089,2020,1
11530760,개봉3동,94031,102646,95081,43459,42209,49895,2020,1
11530770,오류1동,157809,162548,168058,39730,83598,77344,2020,1
11530780,오류2동,114812,95391,102656,57232,55773,56631,2020,1
11530790,수궁동,80973,76083,81349,29202,29846,31563,2020,1
11530800,항동, , , , , , ,2020,1
11545,금천구,113393,116207,110345,79806,85304,90378,2020,1
11545510,가산동,145606,149305,139572,87484,85528,86000,2020,1
11545610,독산1동,104233,106012,94595,82800,92129,101125,2020,1
11545620,독산2동,80031,79242,84092,45501,47477,26493,2020,1
11545630,독산3동,80835,84406,84324,65728,63484,48067,2020,1
11545640,독산4동,109238,106292,99794,33783,81860,74694,2020,1
11545670,시흥1동,116809,115630,114362,48130,49947,71837,2020,1
11545680,시흥2동,154385,220827,167667, ,43684,72754,2020,1
11545690,시흥3동,84629,88688,93004,87110,120987,140322,2020,1
11545700,시흥4동,124566,137293,125396,34090,34850,87776,2020,1
11545710,시흥5동,143357,123865,112292,48700,49005,33709,2020,1
11560,영등포구,112877,113570,117531,79890,79359,84262,2020,1
11560515,영등포본동,98479,105249,100764,113202,92407,137411,2020,1
