행정구역,2022_4Q_전체,2022_4Q_1층,2022_4Q_1층외,2023_1Q_전체,2023_1Q_1층,2023_1Q_1층외,2023_2Q_전체,2023_2Q_1층,2023_2Q_1층외
중계4동,98350.0,147410.0,49291.0,100865.0,150424.0,51306.0,104557.0,141146.0,67969.0
중계2·3동,180251.0,196462.0,164041.0,158015.0,153567.0,162462.0,144672.0,143391.0,145953.0
상계1동,99946.0,144872.0,55021.0,87625.0,119087.0,56162.0,87217.0,113071.0,61363.0
상계2동,132985.0,152620.0,113351.0,150893.0,175881.0,125904.0,155245.0,181849.0,128642.0
상계3·4동,179794.0,110448.0,249140.0,179648.0,98494.0,260801.0,168847.0,99959.0,237734.0
상계5동,87926.0,88941.0,86911.0,89554.0,86002.0,93106.0,73359.0,95967.0,50752.0
상계6·7동,174604.0,190926.0,158281.0,164330.0,181522.0,147139.0,146166.0,190576.0,101755.0
상계8동,63768.0,,63768.0,158060.0,249198.0,66921.0,178601.0,270668.0,86534.0
상계9동,99629.0,117930.0,81328.0,91444.0,109341.0,73547.0,90024.0,114861.0,65187.0
상계10동,63389.0,,63389.0,252988.0,252988.0,,74110.0,,74110.0
은평구,101765.0,116777.0,86752.0,99050.0,113705.0,84394.0,93629.0,110072.0,77186.0
녹번동,100953.0,121431.0,80474.0,96638.0,115558.0,77719.0,99881.0,103313.0,96449.0
불광1동,90780.0,124370.0,57191.0,85945.0,109290.0,62599.0,84400.0,108122.0,60677.0
불광2동,84195.0,97711.0,70679.0,82396.0,98403.0,66389.0,82155.0,89502.0,74807.0
갈현1동,94059.0,137228.0,50889.0,88708.0,123215.0,54201.0,90532.0,128086.0,52978.0
갈현2동,115101.0,106287.0,123915.0,104230.0,104803.0,103656.0,80844.0,100912.0,60776.0
구산동,129327.0,122878.0,135776.0,115114.0,99579.0,130648.0,96320.0,100544.0,92097.0
대조동,96507.0,122120.0,70895.0,107032.0,136871.0,77192.0,106089.0,122475.0,89702.0
응암1동,109093.0,127230.0,90956.0,99759.0,121208.0,78311.0,97912.0,123748.0,72076.0
응암2동,106105.0,98580.0,113631.0,99976.0,106715.0,93237.0,97302.0,103093.0,91512.0
응암3동,91362.0,110744.0,71981.0,94319.0,113357.0,75281.0,83526.0,114537.0,52516.0
역촌동,87164.0,108726.0,65602.0,86234.0,103539.0,68929.0,87740.0,93979.0,81501.0
신사1동,90815.0,102235.0,79395.0,94485.0,107835.0,81134.0,90158.0,95564.0,84752.0
신사2동,90736.0,96797.0,84676.0,96657.0,108214.0,85099.0,82284.0,119514.0,45053.0
증산동,87268.0,84486.0,90050.0,80435.0,66403.0,94467.0,63472.0,69177.0,57768.0
수색동,89896.0,89555.0,90238.0,93688.0,105587.0,81789.0,85662.0,105287.0,66036.0
진관동,131785.0,140423.0,123147.0,131709.0,140834.0,122584.0,119319.0,144184.0,94453.0
서대문구,119913.0,129742.0,110084.0,125736.0,135200.0,116271.0,127009.0,141344.0,112674.0
천연동,108659.0,143408.0,73911.0,126679.0,186416.0,66942.0,126574.0,189736.0,63412.0
북아현동,99374.0,125650.0,73099.0,92080.0,115189.0,68972.0,87312.0,124652.0,49971.0
충현동,127318.0,153832.0,100803.0,128797.0,144404.0,113189.0,125841.0,132841.0,118840.0
신촌동,156748.0,144443.0,169054.0,165289.0,157560.0,173018.0,166628.0,198757.0,134499.0
연희동,113064.0,137829.0,88299.0,119783.0,137420.0,102147.0,123333.0,125524.0,121142.0
홍제1동,94331.0,104400.0,84262.0,87658.0,101052.0,74265.0,72650.0,90816.0,54485.0
홍제3동,93344.0,128018.0,58669.0,100751.0,129398.0,72104.0,98540.0,139594.0,57486.0
홍제2동,148777.0,170007.0,127546.0,121510.0,114536.0,128484.0,89278.0,114536.0,64020.0
홍은1동,103107.0,99401.0,106812.0,105857.0,103390.0,108323.0,107774.0,107793.0,107755.0
홍은2동,89072.0,113357.0,64787.0,90205.0,122937.0,57472.0,94805.0,113000.0,76609.0
남가좌1동,127748.0,176093.0,79403.0,123986.0,183901.0,64071.0,170407.0,182615.0,158198.0
남가좌2동,88568.0,108006.0,69130.0,121769.0,124850.0,118688.0,133125.0,119689.0,146562.0
북가좌1동,196728.0,147583.0,245874.0,148338.0,154971.0,141706.0,173138.0,138773.0,207504.0
북가좌2동,91703.0,110165.0,73241.0,87215.0,113951.0,60480.0,83799.0,111412.0,56186.0
마포구,163022.0,188057.0,137988.0,167493.0,189359.0,145627.0,141777.0,163088.0,120465.0
아현동,165957.0,211388.0,120525.0,163786.0,201565.0,126008.0,142847.0,170285.0,115408.0
공덕동,116441.0,126712.0,106170.0,137962.0,144168.0,131756.0,101760.0,103533.0,99988.0
도화동,129721.0,162772.0,96670.0,129164.0,151441.0,106887.0,123912.0,168769.0,79055.0
용강동,150036.0,186100.0,113973.0,163977.0,206086.0,121868.0,165542.0,202438.0,128647.0
대흥동,162222.0,182624.0,141821.0,167553.0,196887.0,138220.0,128478.0,163294.0,93662.0
염리동,182486.0,202994.0,161978.0,195899.0,195899.0,,178628.0,178628.0,
신수동,134601.0,139437.0,129766.0,163170.0,161147.0,165192.0,144017.0,152286.0,135749.0
서강동,199794.0,234832.0,164756.0,190352.0,214717.0,165986.0,161160.0,176631.0,145689.0
서교동,181289.0,211684.0,150894.0,190553.0,220182.0,160924.0,170213.0,198869.0,141557.0
합정동,170941.0,194733.0,147149.0,179518.0,207122.0,151915.0,148370.0,174775.0,121964.0
망원1동,143817.0,170736.0,116899.0,148075.0,172755.0,123396.0,129381.0,164421.0,94341.0
망원2동,132228.0,166562.0,97895.0,137910.0,166882.0,108939.0,117876.0,144989.0,90763.0
연남동,172431.0,191219.0,153643.0,172207.0,189189.0,155226.0,131015.0,157695.0,104336.0
성산1동,134727.0,147330.0,122124.0,141763.0,156772.0,126755.0,108003.0,114496.0,101511.0
성산2동,173331.0,198056.0,148605.0,183415.0,196503.0,170327.0,121662.0,110678.0,132646.0
상암동,171711.0,196253.0,147168.0,134175.0,154413.0,113938.0,125406.0,162964.0,87847.0
양천구,108895.0,130912.0,86877.0,109483.0,132384.0,86582.0,119317.0,135836.0,102798.0
목1동,152909.0,212514.0,93303.0,142569.0,185154.0,99984.0,152556.0,196996.0,108115.0
목2동,127464.0,161428.0,93501.0,114852.0,131679.0,98025.0,110094.0,97958.0,122229.0
목3동,99774.0,99607.0,99941.0,91147.0,103221.0,79074.0,121643.0,114182.0,129104.0
목4동,100014.0,120914.0,79114.0,97843.0,120320.0,75366.0,121800.0,132228.0,111373.0
목5동,182760.0,256489.0,109030.0,166900.0,232819.0,100980.0,158790.0,201035.0,116546.0
신월1동,102701.0,85342.0,120061.0,107380.0,86258.0,128502.0,96336.0,101085.0,91587.0
신월2동,89261.0,125227.0,53295.0,99271.0,142197.0,56346.0,131800.0,161502.0,102099.0
신월3동,74558.0,102219.0,46897.0,88467.0,112143.0,64791.0,148040.0,122678.0,173402.0
신월4동,78892.0,91617.0,66168.0,97777.0,123614.0,71941.0,127371.0,144369.0,110374.0
신월5동,83687.0,77792.0,89581.0,74969.0,76650.0,73287.0,74011.0,104758.0,43263.0
신월6동,116132.0,119424.0,112839.0,132659.0,132659.0,,110743.0,125115.0,96371.0
신월7동,78537.0,93332.0,63743.0,77411.0,89235.0,65586.0,109204.0,105708.0,112700.0
신정1동,95922.0,129084.0,62760.0,107387.0,146566.0,68207.0,114735.0,149267.0,80203.0
신정2동,93583.0,126406.0,60760.0,84983.0,121563.0,48402.0,89142.0,119682.0,58603.0
신정3동,115200.0,167322.0,63078.0,119701.0,174331.0,65072.0,107392.0,154454.0,60329.0
신정4동,112407.0,129724.0,95090.0,123772.0,125154.0,122390.0,128719.0,125913.0,131525.0
신정6동,134661.0,189796.0,79526.0,84144.0,,84144.0,133212.0,180920.0,85505.0
신정7동,100907.0,110092.0,91721.0,131718.0,214281.0,49154.0,114171.0,186624.0,41718.0
강서구,122702.0,149354.0,96049.0,130369.0,158109.0,102630.0,133012.0,156572.0,109451.0
염창동,99177.0,125705.0,72649.0,103508.0,127651.0,79365.0,107314.0,131277.0,83351.0
등촌1동,121658.0,158307.0,85010.0,124975.0,175962.0,73987.0,108914.0,150221.0,67608.0
등촌2동,107134.0,147822.0,66446.0,129526.0,174396.0,84655.0,141378.0,175919.0,106837.0
등촌3동,134498.0,166042.0,102954.0,133912.0,146764.0,121059.0,133232.0,155553.0,110912.0
화곡1동,85956.0,91470.0,80442.0,95861.0,93766.0,97956.0,96659.0,98596.0,94722.0
화곡2동,98103.0,141446.0,54761.0,107530.0,160411.0,54649.0,149536.0,173573.0,125499.0
화곡3동,110145.0,127058.0,93233.0,140940.0,114734.0,167147.0,118521.0,109741.0,127301.0
화곡4동,96888.0,134712.0,59065.0,95474.0,129130.0,61817.0,96037.0,136471.0,55603.0
화곡본동,102773.0,118068.0,87478.0,110049.0,124773.0,95324.0,117646.0,131677.0,103614.0
화곡6동,130230.0,143548.0,116912.0,144691.0,172549.0,116834.0,145878.0,152126.0,139631.0
화곡8동,111357.0,118284.0,104430.0,131627.0,146081.0,117173.0,99191.0,128620.0,69761.0
가양1동,177694.0,241853.0,113534.0,187046.0,253424.0,120667.0,192803.0,255945.0,129660.0
가양2동,64788.0,,64788.0,,,,,,
가양3동,160666.0,245238.0,76094.0,69446.0,,69446.0,79032.0,,79032.0
발산1동,126364.0,155151.0,97577.0,127329.0,156767.0,97891.0,136288.0,157748.0,114828.0
우장산동,135366.0,141707.0,129024.0,124290.0,136574.0,112006.0,119358.0,138511.0,100205.0
공항동,98288.0,115437.0,81140.0,104020.0,126973.0,81067.0,107263.0,134420.0,80106.0
방화1동,108162.0,152910.0,63414.0,117915.0,153552.0,82279.0,116468.0,152945.0,79991.0
방화2동,84456.0,98012.0,70901.0,97374.0,108863.0,85885.0,113660.0,102502.0,124818.0
