행정구역,2025_1Q_전체,2025_1Q_1층,2025_1Q_1층외,2025_2Q_전체,2025_2Q_1층,2025_2Q_1층외,2025_3Q_전체,2025_3Q_1층,2025_3Q_1층외
구로5동,152548.0,205963.0,99134.0,170220.0,220540.0,119900.0,168135.0,219547.0,116722.0
가리봉동,188547.0,189639.0,187455.0,178224.0,175690.0,180757.0,176892.0,169889.0,183895.0
고척1동,140012.0,195261.0,84762.0,155345.0,196031.0,114659.0,160265.0,197826.0,122704.0
고척2동,119380.0,99755.0,139005.0,134589.0,134094.0,135083.0,117099.0,144057.0,90140.0
개봉1동,142976.0,164953.0,121000.0,150532.0,165416.0,135648.0,134721.0,151926.0,117515.0
개봉2동,142774.0,152476.0,133072.0,126029.0,144570.0,107489.0,135051.0,146297.0,123804.0
개봉3동,127692.0,171037.0,84346.0,143613.0,154092.0,133134.0,134565.0,136257.0,132874.0
오류1동,130634.0,155909.0,105358.0,137391.0,159234.0,115547.0,139331.0,148668.0,129994.0
오류2동,174370.0,225107.0,123634.0,163347.0,190385.0,136308.0,162154.0,187374.0,136934.0
수궁동,104804.0,108774.0,100833.0,103426.0,111481.0,95371.0,108828.0,129805.0,87851.0
항동,215817.0,275037.0,156597.0,214789.0,235309.0,194269.0,225313.0,237490.0,213136.0
금천구,119617.0,138757.0,100478.0,103414.0,129357.0,77471.0,102259.0,129389.0,75128.0
가산동,132043.0,152972.0,111114.0,119112.0,153313.0,84911.0,115547.0,151372.0,79721.0
독산1동,125374.0,172712.0,78035.0,103631.0,124384.0,82879.0,102815.0,120143.0,85487.0
독산2동,183806.0,155035.0,212577.0,145201.0,123819.0,166582.0,133419.0,123374.0,143464.0
독산3동,88180.0,95955.0,80405.0,83308.0,94117.0,72500.0,96721.0,95996.0,97446.0
독산4동,112603.0,165910.0,59296.0,73263.0,107248.0,39278.0,74774.0,111320.0,38227.0
시흥1동,89776.0,122824.0,56728.0,100940.0,148595.0,53285.0,101529.0,149035.0,54023.0
시흥2동,41565.0,,41565.0,89000.0,103859.0,74142.0,94418.0,104787.0,84049.0
시흥3동,102574.0,101164.0,103984.0,68176.0,91798.0,44554.0,65147.0,91723.0,38570.0
시흥4동,81045.0,117180.0,44910.0,88709.0,131796.0,45621.0,104672.0,156843.0,52501.0
시흥5동,122179.0,122179.0,,86443.0,127788.0,45098.0,83106.0,122253.0,43958.0
영등포구,126099.0,142221.0,109976.0,131865.0,153404.0,110325.0,142701.0,161725.0,123677.0
영등포본동,83550.0,99126.0,67974.0,104279.0,93480.0,115078.0,131152.0,108847.0,153456.0
영등포동,132540.0,141220.0,123859.0,133290.0,155793.0,110787.0,147794.0,180026.0,115562.0
여의동,168909.0,220012.0,117805.0,189669.0,247052.0,132287.0,196818.0,248641.0,144996.0
당산1동,117855.0,141296.0,94415.0,109695.0,123774.0,95616.0,124250.0,138500.0,109999.0
당산2동,133015.0,163456.0,102575.0,147794.0,196168.0,99421.0,168558.0,222736.0,114380.0
도림동,85449.0,102470.0,68427.0,105700.0,106627.0,104773.0,113118.0,97546.0,128690.0
문래동,110497.0,119682.0,101312.0,115622.0,140354.0,90890.0,129041.0,159929.0,98153.0
양평1동,134683.0,109125.0,160241.0,125336.0,130250.0,120422.0,155302.0,143511.0,167092.0
양평2동,134348.0,139189.0,129506.0,133306.0,148203.0,118408.0,156014.0,171093.0,140935.0
신길1동,84898.0,117471.0,52324.0,87907.0,118176.0,57637.0,94555.0,127601.0,61509.0
신길3동,120440.0,134672.0,106207.0,134075.0,133992.0,134158.0,144068.0,137177.0,150959.0
신길4동,126298.0,109697.0,142898.0,120353.0,120353.0,,103287.0,129441.0,77132.0
신길5동,144511.0,240976.0,48047.0,151005.0,254914.0,47095.0,,,
신길6동,186097.0,251467.0,120727.0,158833.0,244542.0,73124.0,113689.0,143089.0,84289.0
신길7동,124382.0,117647.0,131116.0,127655.0,116184.0,139126.0,140287.0,152329.0,128246.0
대림1동,135781.0,116548.0,155014.0,153346.0,137114.0,169577.0,134060.0,127254.0,140866.0
대림2동,108107.0,139263.0,76952.0,147085.0,169106.0,125064.0,167222.0,162102.0,172342.0
대림3동,87811.0,117614.0,58008.0,106618.0,122238.0,90998.0,118177.0,131844.0,104511.0
동작구,130947.0,157998.0,103895.0,131381.0,164656.0,98105.0,139403.0,173836.0,104970.0
노량진1동,132188.0,160062.0,104314.0,128245.0,177900.0,78591.0,127956.0,169760.0,86151.0
노량진2동,226531.0,295767.0,157296.0,219613.0,303743.0,135483.0,258457.0,327123.0,189791.0
상도1동,117891.0,143510.0,92272.0,114237.0,139607.0,88868.0,114688.0,137852.0,91524.0
상도2동,136662.0,175092.0,98233.0,144451.0,178903.0,109999.0,158687.0,176343.0,141031.0
상도3동,129536.0,177483.0,81589.0,146959.0,168324.0,125594.0,130095.0,157844.0,102347.0
상도4동,102714.0,123970.0,81458.0,91187.0,120960.0,61413.0,102237.0,137445.0,67029.0
흑석동,143051.0,146705.0,139397.0,143305.0,156132.0,130479.0,151502.0,168422.0,134583.0
사당1동,131151.0,143440.0,118862.0,109549.0,138087.0,81012.0,123334.0,150019.0,96648.0
사당2동,133757.0,175531.0,91984.0,144089.0,195943.0,92234.0,147852.0,200072.0,95631.0
사당3동,113518.0,138464.0,88572.0,119253.0,142077.0,96429.0,113367.0,134895.0,91840.0
사당4동,127041.0,128543.0,125539.0,159535.0,159535.0,,145165.0,159686.0,130645.0
사당5동,120514.0,107320.0,133708.0,88030.0,88932.0,87129.0,93881.0,82620.0,105142.0
대방동,111083.0,132793.0,89372.0,105918.0,134302.0,77534.0,112113.0,141768.0,82457.0
신대방1동,95119.0,121691.0,68547.0,91484.0,115615.0,67354.0,87700.0,120964.0,54436.0
신대방2동,134341.0,165581.0,103100.0,150275.0,189882.0,110667.0,148137.0,201921.0,94352.0
관악구,125650.0,146294.0,105005.0,121002.0,147977.0,94027.0,121394.0,150075.0,92713.0
보라매동,111526.0,117710.0,105341.0,113115.0,113085.0,113145.0,108772.0,112157.0,105386.0
청림동,93762.0,114050.0,73474.0,85453.0,87991.0,82915.0,87457.0,94098.0,80815.0
성현동,89926.0,114507.0,65346.0,80708.0,111858.0,49559.0,78548.0,98803.0,58294.0
행운동,131247.0,135107.0,127388.0,136877.0,157875.0,115878.0,133141.0,164034.0,102248.0
낙성대동,153628.0,199094.0,108162.0,152808.0,202409.0,103208.0,159805.0,210706.0,108905.0
청룡동,148726.0,162279.0,135173.0,143114.0,158363.0,127865.0,137614.0,164833.0,110395.0
은천동,112735.0,141563.0,83907.0,114774.0,136844.0,92703.0,107827.0,132354.0,83300.0
중앙동,125660.0,148242.0,103077.0,117129.0,135313.0,98944.0,120488.0,138965.0,102011.0
인헌동,109070.0,146194.0,71946.0,120280.0,169869.0,70691.0,122849.0,174885.0,70813.0
남현동,115600.0,120083.0,111117.0,117658.0,137839.0,97477.0,115895.0,141075.0,90714.0
서원동,173567.0,237551.0,109583.0,175983.0,249994.0,101972.0,173323.0,246505.0,100141.0
신원동,153353.0,154207.0,152499.0,92200.0,120731.0,63669.0,85051.0,109376.0,60726.0
서림동,162312.0,108944.0,215681.0,108707.0,106334.0,111080.0,113253.0,105740.0,120765.0
신사동,107782.0,134222.0,81342.0,95172.0,131592.0,58751.0,112489.0,136656.0,88322.0
신림동,135879.0,176344.0,95415.0,137319.0,165510.0,109129.0,132370.0,158119.0,106620.0
난향동,65481.0,81226.0,49735.0,78806.0,91796.0,65816.0,103153.0,118324.0,87981.0
조원동,106245.0,123225.0,89265.0,95656.0,130898.0,60414.0,97980.0,136070.0,59890.0
대학동,110767.0,164983.0,56551.0,116564.0,149727.0,83401.0,119134.0,147373.0,90895.0
삼성동,71118.0,109007.0,33230.0,107568.0,108464.0,106672.0,111606.0,103978.0,119234.0
미성동,111866.0,117449.0,106283.0,91083.0,115362.0,66803.0,106431.0,139233.0,73629.0
난곡동,107647.0,117644.0,97651.0,105242.0,139773.0,70710.0,100797.0,135854.0,65740.0
서초구,144988.0,166170.0,123807.0,143895.0,166452.0,121337.0,149914.0,176008.0,123820.0
서초1동,141813.0,151392.0,132233.0,141703.0,155434.0,127972.0,147376.0,167500.0,127252.0
서초2동,183947.0,217923.0,149972.0,188475.0,227840.0,149110.0,213028.0,246962.0,179094.0
서초3동,145843.0,171333.0,120352.0,160562.0,183688.0,137436.0,167236.0,195682.0,138791.0
서초4동,178840.0,229953.0,127726.0,166582.0,203365.0,129799.0,161648.0,206473.0,116822.0
잠원동,143708.0,152287.0,135129.0,145519.0,170605.0,120433.0,135394.0,164601.0,106187.0
반포본동,64628.0,64628.0,,98503.0,98503.0,,144965.0,144965.0,
반포1동,146269.0,173964.0,118575.0,145277.0,163571.0,126982.0,153406.0,172000.0,134811.0
반포2동,310781.0,341106.0,280455.0,300908.0,346464.0,255352.0,320880.0,400583.0,241178.0
반포3동,213435.0,227580.0,199290.0,232999.0,264460.0,201537.0,223944.0,259315.0,188573.0
반포4동,159258.0,184971.0,133545.0,160957.0,201044.0,120871.0,155621.0,205977.0,105265.0
방배본동,118493.0,146907.0,90079.0,106764.0,133103.0,80424.0,107038.0,132492.0,81584.0
방배1동,143960.0,176803.0,111117.0,137538.0,173849.0,101228.0,159598.0,216910.0,102286.0
방배2동,144445.0,163274.0,125617.0,131128.0,143358.0,118897.0,125976.0,137942.0,114010.0
방배3동,83617.0,115940.0,51294.0,75711.0,97887.0,53536.0,91829.0,109825.0,73832.0
방배4동,117781.0,140555.0,95007.0,123686.0,141783.0,105588.0,126364.0,140892.0,111836.0
양재1동,129873.0,169796.0,89949.0,127014.0,165936.0,88092.0,130462.0,171798.0,89125.0
양재2동,115647.0,124578.0,106717.0,112147.0,131293.0,93002.0,117642.0,138583.0,96700.0
내곡동,148045.0,162281.0,133810.0,135203.0,153670.0,116736.0,146617.0,169581.0,123653.0
강남구,194130.0,223570.0,164691.0,180958.0,208895.0,153021.0,180915.0,208584.0,153246.0
신사동,178955.0,216922.0,140988.0,171890.0,214949.0,128830.0,176205.0,226251.0,126159.0
논현1동,196314.0,235056.0,157572.0,181492.0,216814.0,146170.0,181035.0,221271.0,140799.0
논현2동,180071.0,215972.0,144169.0,160100.0,197752.0,122448.0,160191.0,198572.0,121810.0
압구정동,172887.0,233280.0,112494.0,221105.0,306016.0,136194.0,222450.0,312120.0,132780.0
청담동,213127.0,266258.0,159996.0,165407.0,183375.0,147439.0,161539.0,178893.0,144185.0
삼성1동,257805.0,198260.0,317351.0,229994.0,189010.0,270978.0,246069.0,188426.0,303712.0
삼성2동,187413.0,212340.0,162487.0,161480.0,159869.0,163091.0,153563.0,155753.0,151373.0
대치1동,266099.0,348946.0,183252.0,239418.0,362349.0,116488.0,246843.0,367208.0,126478.0
대치2동,226073.0,286513.0,165633.0,214390.0,249849.0,178931.0,214911.0,233100.0,196722.0
대치4동,193470.0,242294.0,144647.0,170763.0,201355.0,140171.0,172364.0,208929.0,135800.0
역삼1동,202428.0,223533.0,181324.0,178860.0,193369.0,164352.0,176040.0,189373.0,162706.0
역삼2동,208826.0,245125.0,172527.0,200678.0,245635.0,155721.0,187681.0,231982.0,143380.0
도곡1동,176666.0,212396.0,140937.0,180738.0,213904.0,147573.0,181619.0,195478.0,167760.0
도곡2동,133267.0,151438.0,115096.0,146873.0,188924.0,104822.0,158661.0,213551.0,103770.0
개포1동,,,,,,,,,
개포2동,257227.0,323699.0,190754.0,211812.0,268857.0,154768.0,219402.0,269097.0,169708.0
개포4동,123617.0,118526.0,128708.0,106600.0,132043.0,81157.0,114599.0,144632.0,84565.0
세곡동,173901.0,220365.0,127436.0,207877.0,260533.0,155221.0,197267.0,239413.0,155121.0
일원본동,,,,,,,98629.0,,98629.0
